20230306-141744
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,1024,16,810,1771,452,576,448,540,1
1,2,1024,16,810,1247,1471,559,1472,540,1
1,3,1024,16,810,1405,442,603,448,540,1
1,4,1024,16,810,1260,1474,628,1472,540,1
1,5,1024,16,810,1216,446,615,448,540,1
1,6,1024,16,810,1264,1484,652,1472,540,0
1,7,1024,16,810,1266,447,632,448,540,1
1,8,1024,16,810,951,1469,638,1472,540,1
1,9,1024,16,810,877,446,639,448,540,1
1,10,1024,16,810,911,1465,626,1472,540,1
1,11,1024,16,810,917,452,642,448,540,1
1,12,1024,16,810,1317,1480,636,1472,540,0
1,13,1024,16,810,1093,450,641,448,540,1
1,14,1024,16,810,1007,1464,631,1472,540,1
1,15,1024,16,810,949,453,640,448,540,1
2,1,512,128,810,707,733,564,704,540,1
2,2,512,128,810,613,1228,565,1216,540,1
2,3,512,128,810,877,650,583,704,540,1
2,4,512,128,810,629,1262,569,1216,540,1
2,5,512,128,810,671,754,608,704,540,1
2,6,512,128,810,627,1195,599,1216,540,1
2,7,512,128,810,549,669,601,704,540,1
2,8,512,128,810,661,1196,598,1216,540,1
2,9,512,128,810,637,756,604,704,540,1
2,10,512,128,810,566,1176,617,1216,540,1
2,11,512,128,810,709,754,627,704,540,1
2,12,512,128,810,667,1180,626,1216,540,1
2,13,512,128,810,553,694,623,704,540,1
2,14,512,128,810,589,1208,613,1216,540,1
2,15,512,128,810,605,754,634,704,540,1
3,1,512,64,810,770,729,615,704,540,1
3,2,512,64,810,797,1217,611,1216,540,1
3,3,512,64,810,822,691,649,704,540,1
3,4,512,64,810,669,1229,635,1216,540,1
3,5,512,64,810,766,693,670,704,540,1
3,6,512,64,810,693,1219,670,1216,540,1
3,7,512,64,810,734,718,695,704,540,1
3,8,512,64,810,741,1204,682,1216,540,1
3,9,512,64,810,707,714,718,704,540,1
3,10,512,64,810,625,1182,718,1216,540,0
3,11,512,64,810,716,688,730,704,540,1
3,12,512,64,810,785,1210,717,1216,540,1
3,13,512,64,810,678,681,738,704,540,1
3,14,512,64,810,693,1197,744,1216,540,1
3,15,512,64,810,598,722,748,704,540,1
4,1,256,16,810,820,836,603,832,540,1
4,2,256,16,810,837,1100,632,1088,540,0
4,3,256,16,810,1126,828,623,832,540,1
4,4,256,16,810,853,1092,631,1088,540,1
4,5,256,16,810,573,830,646,832,540,1
4,6,256,16,810,1020,1086,649,1088,540,1
4,7,256,16,810,897,835,684,832,540,1
4,8,256,16,810,1021,1086,656,1088,540,1
4,9,256,16,810,1148,829,699,832,540,1
4,10,256,16,810,702,1087,697,1088,540,1
4,11,256,16,810,686,838,728,832,540,1
4,12,256,16,810,596,1099,718,1088,540,0
4,13,256,16,810,846,827,740,832,540,1
4,14,256,16,810,757,1086,744,1088,540,1
4,15,256,16,810,620,840,752,832,540,0
5,1,1024,32,810,1043,451,681,448,540,1
5,2,1024,32,810,869,1466,645,1472,540,1
5,3,1024,32,810,821,462,697,448,540,1
5,4,1024,32,810,1141,1461,671,1472,540,1
5,5,1024,32,810,870,456,720,448,540,1
5,6,1024,32,810,822,1478,696,1472,540,1
5,7,1024,32,810,1084,423,715,448,540,0
5,8,1024,32,810,887,1459,667,1472,540,1
5,9,1024,32,810,734,472,730,448,540,0
5,10,1024,32,810,796,1472,716,1472,540,1
5,11,1024,32,810,1342,460,767,448,540,1
5,12,1024,32,810,1069,1466,671,1472,540,1
5,13,1024,32,810,965,447,718,448,540,1
5,14,1024,32,810,861,1467,650,1472,540,1
5,15,1024,32,810,821,468,706,448,540,0
6,1,128,32,810,818,884,603,896,540,1
6,2,128,32,810,757,1040,611,1024,540,0
6,3,128,32,810,797,881,622,896,540,1
6,4,128,32,810,581,1026,627,1024,540,1
6,5,128,32,810,534,892,647,896,540,1
6,6,128,32,810,821,1015,660,1024,540,1
6,7,128,32,810,604,881,683,896,540,1
6,8,128,32,810,656,1017,683,1024,540,1
6,9,128,32,810,702,914,689,896,540,0
6,10,128,32,810,678,1020,698,1024,540,1
6,11,128,32,810,564,906,713,896,540,1
6,12,128,32,810,556,1027,718,1024,540,1
6,13,128,32,810,534,900,698,896,540,1
6,14,128,32,810,661,1015,700,1024,540,1
6,15,128,32,810,589,917,706,896,540,0
7,1,512,16,810,940,696,654,704,540,1
7,2,512,16,810,1333,1213,662,1216,540,1
7,3,512,16,810,1348,717,742,704,540,0
7,4,512,16,810,1121,1222,728,1216,540,1
7,5,512,16,810,1109,709,746,704,540,1
7,6,512,16,810,1254,1215,732,1216,540,1
7,7,512,16,810,684,714,774,704,540,0
7,8,512,16,810,974,1202,766,1216,540,0
7,9,512,16,810,653,702,763,704,540,1
7,10,512,16,810,819,1217,784,1216,540,1
7,11,512,16,810,889,711,746,704,540,1
7,12,512,16,810,893,1219,721,1216,540,1
7,13,512,16,810,885,709,728,704,540,1
7,14,512,16,810,853,1215,723,1216,540,1
7,15,512,16,810,1046,699,764,704,540,1
8,1,256,32,810,1178,828,642,832,540,1
8,2,256,32,810,989,1081,670,1088,540,1
8,3,256,32,810,909,826,706,832,540,1
8,4,256,32,810,524,1088,699,1088,540,1
8,5,256,32,810,917,826,735,832,540,1
8,6,256,32,810,935,1101,741,1088,540,1
8,7,256,32,810,579,846,732,832,540,1
8,8,256,32,810,770,1085,730,1088,540,1
8,9,256,32,810,917,841,748,832,540,1
8,10,256,32,810,646,1085,745,1088,540,1
8,11,256,32,810,557,839,767,832,540,1
8,12,256,32,810,869,1073,754,1088,540,1
8,13,256,32,810,635,849,796,832,540,0
8,14,256,32,810,775,1100,761,1088,540,1
8,15,256,32,810,821,831,790,832,540,1
9,1,256,128,810,914,795,640,832,540,1
9,2,256,128,810,533,1048,615,1088,540,1
9,3,256,128,810,605,848,645,832,540,1
9,4,256,128,810,509,1081,658,1088,540,1
9,5,256,128,810,669,857,683,832,540,1
9,6,256,128,810,631,1052,668,1088,540,1
9,7,256,128,810,580,856,703,832,540,1
9,8,256,128,810,629,1040,687,1088,540,1
9,9,256,128,810,477,853,711,832,540,1
9,10,256,128,810,636,1058,683,1088,540,1
9,11,256,128,810,590,892,708,832,540,1
9,12,256,128,810,493,1087,705,1088,540,1
9,13,256,128,810,477,815,730,832,540,1
9,14,256,128,810,654,1051,708,1088,540,1
9,15,256,128,810,475,869,732,832,540,1
10,1,128,64,810,570,918,613,896,540,1
10,2,128,64,810,502,1017,618,1024,540,1
10,3,128,64,810,477,918,636,896,540,1
10,4,128,64,810,533,1007,641,1024,540,1
10,5,128,64,810,476,915,654,896,540,1
10,6,128,64,810,582,993,648,1024,540,1
10,7,128,64,810,581,893,664,896,540,1
10,8,128,64,810,613,998,655,1024,540,1
10,9,128,64,810,461,900,661,896,540,1
10,10,128,64,810,541,1013,658,1024,540,1
10,11,128,64,810,725,924,672,896,540,1
10,12,128,64,810,765,1052,673,1024,540,1
10,13,128,64,810,597,885,668,896,540,1
10,14,128,64,810,621,999,674,1024,540,1
10,15,128,64,810,494,918,691,896,540,1
11,1,1024,64,810,834,447,644,448,540,1
11,2,1024,64,810,1068,1443,594,1472,540,1
11,3,1024,64,810,898,440,671,448,540,1
11,4,1024,64,810,805,1469,637,1472,540,1
11,5,1024,64,810,813,463,677,448,540,1
11,6,1024,64,810,749,1481,629,1472,540,1
11,7,1024,64,810,644,434,658,448,540,1
11,8,1024,64,810,757,1457,658,1472,540,1
11,9,1024,64,810,766,449,707,448,540,1
11,10,1024,64,810,694,1476,643,1472,540,1
11,11,1024,64,810,612,483,664,448,540,0
11,12,1024,64,810,829,1470,651,1472,540,1
11,13,1024,64,810,621,463,721,448,540,1
11,14,1024,64,810,1089,1490,652,1472,540,1
11,15,1024,64,810,782,446,666,448,540,1
12,1,128,128,810,500,932,568,896,540,1
12,2,128,128,810,430,1048,586,1024,540,1
12,3,128,128,810,549,923,602,896,540,1
12,4,128,128,810,477,982,603,1024,540,1
12,5,128,128,810,449,890,606,896,540,1
12,6,128,128,810,558,1022,609,1024,540,1
12,7,128,128,810,557,941,619,896,540,1
12,8,128,128,810,502,1025,625,1024,540,1
12,9,128,128,810,470,920,629,896,540,1
12,10,128,128,810,523,1014,630,1024,540,1
12,11,128,128,810,481,929,640,896,540,1
12,12,128,128,810,476,1012,646,1024,540,1
12,13,128,128,810,449,933,646,896,540,1
12,14,128,128,810,509,1010,646,1024,540,1
12,15,128,128,810,534,967,646,896,540,0
13,1,128,16,810,819,903,622,896,540,1
13,2,128,16,810,822,1027,634,1024,540,1
13,3,128,16,810,757,885,662,896,540,0
13,4,128,16,810,893,1023,662,1024,540,1
13,5,128,16,810,660,899,694,896,540,1
13,6,128,16,810,777,1024,704,1024,540,1
13,7,128,16,810,630,901,717,896,540,1
13,8,128,16,810,1220,1013,719,1024,540,0
13,9,128,16,810,572,905,726,896,540,0
13,10,128,16,810,662,1008,726,1024,540,0
13,11,128,16,810,782,898,731,896,540,1
13,12,128,16,810,517,1031,741,1024,540,1
13,13,128,16,810,774,898,742,896,540,1
13,14,128,16,810,788,1021,742,1024,540,1
13,15,128,16,810,1013,898,758,896,540,1
14,1,1024,128,810,660,429,586,448,540,1
14,2,1024,128,810,741,1441,549,1472,540,1
14,3,1024,128,810,677,497,578,448,540,1
14,4,1024,128,810,830,1424,559,1472,540,1
14,5,1024,128,810,917,524,588,448,540,0
14,6,1024,128,810,639,1437,581,1472,540,1
14,7,1024,128,810,853,481,568,448,540,1
14,8,1024,128,810,630,1454,572,1472,540,1
14,9,1024,128,810,644,489,587,448,540,1
14,10,1024,128,810,649,1432,567,1472,540,1
14,11,1024,128,810,685,496,610,448,540,1
14,12,1024,128,810,619,1475,602,1472,540,1
14,13,1024,128,810,553,469,605,448,540,1
14,14,1024,128,810,566,1413,612,1472,540,1
14,15,1024,128,810,677,481,641,448,540,1
15,1,256,64,810,683,855,598,832,540,1
15,2,256,64,810,582,1077,591,1088,540,1
15,3,256,64,810,549,807,617,832,540,1
15,4,256,64,810,671,1070,616,1088,540,1
15,5,256,64,810,671,812,647,832,540,1
15,6,256,64,810,620,1075,637,1088,540,1
15,7,256,64,810,564,863,658,832,540,1
15,8,256,64,810,752,1087,663,1088,540,1
15,9,256,64,810,701,864,670,832,540,0
15,10,256,64,810,547,1062,655,1088,540,1
15,11,256,64,810,735,823,657,832,540,1
15,12,256,64,810,666,1085,651,1088,540,1
15,13,256,64,810,485,846,666,832,540,1
15,14,256,64,810,477,1071,662,1088,540,1
15,15,256,64,810,653,844,666,832,540,1
16,1,512,32,810,667,697,607,704,540,1
16,2,512,32,810,1029,1197,563,1216,540,0
16,3,512,32,810,751,683,638,704,540,0
16,4,512,32,810,1031,1206,625,1216,540,1
16,5,512,32,810,844,697,653,704,540,1
16,6,512,32,810,749,1230,640,1216,540,1
16,7,512,32,810,824,708,670,704,540,1
16,8,512,32,810,766,1213,647,1216,540,1
16,9,512,32,810,724,697,708,704,540,1
16,10,512,32,810,661,1220,589,1216,540,1
16,11,512,32,810,765,698,632,704,540,1
16,12,512,32,810,813,1232,635,1216,540,0
16,13,512,32,810,597,708,665,704,540,1
16,14,512,32,810,902,1209,687,1216,540,1
16,15,512,32,810,748,685,712,704,540,0
