20230303-175828
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,1024,16,810,1354,455,401,448,540,1
1,2,1024,16,810,1493,1474,485,1472,540,1
1,3,1024,16,810,1493,444,446,448,540,1
1,4,1024,16,810,885,1476,453,1472,540,1
1,5,1024,16,810,1060,443,467,448,540,1
1,6,1024,16,810,1158,1472,490,1472,540,1
1,7,1024,16,810,917,450,484,448,540,1
1,8,1024,16,810,1173,1471,471,1472,540,1
1,9,1024,16,810,1133,444,481,448,540,1
1,10,1024,16,810,990,1475,452,1472,540,1
1,11,1024,16,810,1062,455,454,448,540,1
1,12,1024,16,810,860,1463,452,1472,540,0
1,13,1024,16,810,1213,441,490,448,540,1
1,14,1024,16,810,957,1481,490,1472,540,0
1,15,1024,16,810,1021,442,505,448,540,1
2,1,256,32,810,714,839,524,832,540,1
2,2,256,32,810,781,1097,507,1088,540,1
2,3,256,32,810,717,834,509,832,540,1
2,4,256,32,810,797,1092,476,1088,540,1
2,5,256,32,810,509,844,504,832,540,1
2,6,256,32,810,749,1085,479,1088,540,1
2,7,256,32,810,717,835,496,832,540,1
2,8,256,32,810,693,1069,500,1088,540,0
2,9,256,32,810,998,833,523,832,540,1
2,10,256,32,810,763,1082,490,1088,540,1
2,11,256,32,810,765,836,523,832,540,1
2,12,256,32,810,645,1076,491,1088,540,1
2,13,256,32,810,613,825,525,832,540,1
2,14,256,32,810,853,1099,472,1088,540,1
2,15,256,32,810,549,830,520,832,540,1
3,1,256,64,810,465,873,525,832,540,0
3,2,256,64,810,701,1062,500,1088,540,1
3,3,256,64,810,573,858,533,832,540,1
3,4,256,64,810,525,1072,514,1088,540,1
3,5,256,64,810,509,832,536,832,540,1
3,6,256,64,810,574,1067,517,1088,540,1
3,7,256,64,810,549,843,545,832,540,1
3,8,256,64,810,476,1075,516,1088,540,1
3,9,256,64,810,717,829,542,832,540,1
3,10,256,64,810,725,1074,501,1088,540,1
3,11,256,64,810,693,852,531,832,540,1
3,12,256,64,810,605,1072,511,1088,540,1
3,13,256,64,810,452,836,527,832,540,1
3,14,256,64,810,758,1060,509,1088,540,1
3,15,256,64,810,573,860,541,832,540,1
4,1,128,128,810,404,945,536,896,540,1
4,2,128,128,810,365,996,535,1024,540,1
4,3,128,128,810,437,935,533,896,540,1
4,4,128,128,810,461,977,533,1024,540,1
4,5,128,128,810,429,930,533,896,540,1
4,6,128,128,810,429,990,527,1024,540,1
4,7,128,128,810,517,943,527,896,540,1
4,8,128,128,810,469,975,527,1024,540,1
4,9,128,128,810,446,935,527,896,540,1
4,10,128,128,810,485,988,519,1024,540,1
4,11,128,128,810,493,935,519,896,540,1
4,12,128,128,810,557,972,515,1024,540,1
4,13,128,128,810,445,938,518,896,540,1
4,14,128,128,810,445,993,512,1024,540,1
4,15,128,128,810,421,949,514,896,540,1
5,1,1024,128,810,699,461,554,448,540,1
5,2,1024,128,810,717,1489,487,1472,540,1
5,3,1024,128,810,717,477,619,448,540,1
5,4,1024,128,810,581,1446,577,1472,540,1
5,5,1024,128,810,645,457,594,448,540,1
5,6,1024,128,810,589,1476,536,1472,540,1
5,7,1024,128,810,573,469,571,448,540,1
5,8,1024,128,810,510,1446,544,1472,540,1
5,9,1024,128,810,581,477,596,448,540,1
5,10,1024,128,810,469,1498,504,1472,540,1
5,11,1024,128,810,517,363,555,448,540,0
5,12,1024,128,810,669,1456,524,1472,540,1
5,13,1024,128,810,901,506,562,448,540,1
5,14,1024,128,810,734,1414,496,1472,540,1
5,15,1024,128,810,781,488,595,448,540,1
6,1,256,16,810,1059,833,549,832,540,1
6,2,256,16,810,1077,1083,516,1088,540,1
6,3,256,16,810,1117,826,513,832,540,1
6,4,256,16,810,829,1093,484,1088,540,1
6,5,256,16,810,893,834,513,832,540,1
6,6,256,16,810,821,1089,492,1088,540,1
6,7,256,16,810,887,832,506,832,540,1
6,8,256,16,810,813,1091,471,1088,540,1
6,9,256,16,810,861,834,497,832,540,1
6,10,256,16,810,837,1088,479,1088,540,1
6,11,256,16,810,1093,829,498,832,540,1
6,12,256,16,810,861,1084,470,1088,540,1
6,13,256,16,810,1189,829,488,832,540,1
6,14,256,16,810,821,1090,441,1088,540,1
6,15,256,16,810,773,841,458,832,540,0
7,1,512,16,810,947,706,566,704,540,1
7,2,512,16,810,1133,1216,528,1216,540,1
7,3,512,16,810,885,701,580,704,540,1
7,4,512,16,810,869,1215,541,1216,540,1
7,5,512,16,810,949,705,568,704,540,1
7,6,512,16,810,1069,1212,513,1216,540,1
7,7,512,16,810,1445,702,547,704,540,1
7,8,512,16,810,1149,1214,510,1216,540,1
7,9,512,16,810,1101,704,523,704,540,1
7,10,512,16,810,1181,1214,506,1216,540,1
7,11,512,16,810,1445,708,501,704,540,1
7,12,512,16,810,1037,1214,525,1216,540,1
7,13,512,16,810,1061,702,541,704,540,1
7,14,512,16,810,925,1210,521,1216,540,1
7,15,512,16,810,1180,699,545,704,540,1
8,1,1024,32,810,978,443,581,448,540,1
8,2,1024,32,810,925,1467,491,1472,540,1
8,3,1024,32,810,1141,448,497,448,540,1
8,4,1024,32,810,1054,1479,442,1472,540,1
8,5,1024,32,810,893,451,517,448,540,1
8,6,1024,32,810,845,1468,479,1472,540,1
