20230303-160646
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,1024,16,810,1238,445,466,448,540,1
1,2,1024,16,810,1112,1477,473,1472,540,1
1,3,1024,16,810,1452,447,487,448,540,1
1,4,1024,16,810,1297,1475,455,1472,540,1
1,5,1024,16,810,1172,448,505,448,540,1
1,6,1024,16,810,1656,1477,446,1472,540,1
1,7,1024,16,810,1273,443,560,448,540,1
1,8,1024,16,810,985,1465,533,1472,540,1
1,9,1024,16,810,1546,456,537,448,540,0
1,10,1024,16,810,1141,1470,524,1472,540,1
1,11,1024,16,810,1609,440,561,448,540,1
1,12,1024,16,810,1593,1465,509,1472,540,1
1,13,1024,16,810,1672,441,591,448,540,1
1,14,1024,16,810,1124,1469,515,1472,540,1
1,15,1024,16,810,968,455,571,448,540,1
2,1,128,128,810,532,895,584,896,540,1
2,2,128,128,810,749,1085,614,1024,540,1
2,3,128,128,810,719,916,673,896,540,1
2,4,128,128,810,437,997,643,1024,540,1
2,5,128,128,810,453,886,653,896,540,1
2,6,128,128,810,578,1002,648,1024,540,1
2,7,128,128,810,513,914,666,896,540,1
2,8,128,128,810,484,1006,652,1024,540,1
2,9,128,128,810,515,931,672,896,540,1
2,10,128,128,810,485,1004,662,1024,540,1
2,11,128,128,810,796,916,680,896,540,1
2,12,128,128,810,469,994,659,1024,540,1
2,13,128,128,810,562,935,679,896,540,1
2,14,128,128,810,562,992,667,1024,540,1
2,15,128,128,810,469,924,679,896,540,1
3,1,512,64,810,906,693,632,704,540,1
3,2,512,64,810,765,1199,607,1216,540,1
3,3,512,64,810,1000,706,687,704,540,1
3,4,512,64,810,781,1202,642,1216,540,1
3,5,512,64,810,797,673,722,704,540,1
3,6,512,64,810,937,1192,679,1216,540,1
3,7,512,64,810,719,715,754,704,540,1
3,8,512,64,810,813,1228,696,1216,540,1
3,9,512,64,810,594,692,746,704,540,1
3,10,512,64,810,578,1236,719,1216,540,1
3,11,512,64,810,715,696,747,704,540,1
3,12,512,64,810,781,1188,712,1216,540,1
3,13,512,64,810,859,729,777,704,540,1
3,14,512,64,810,765,1199,742,1216,540,1
3,15,512,64,810,813,705,780,704,540,1
4,1,256,32,810,1047,837,612,832,540,1
4,2,256,32,810,531,1092,610,1088,540,1
4,3,256,32,810,750,811,638,832,540,0
4,4,256,32,810,1156,1088,633,1088,540,1
4,5,256,32,810,937,833,659,832,540,1
4,6,256,32,810,750,1075,618,1088,540,1
4,7,256,32,810,578,835,669,832,540,1
4,8,256,32,810,828,1078,601,1088,540,1
4,9,256,32,810,864,839,679,832,540,1
4,10,256,32,810,688,1089,624,1088,540,1
4,11,256,32,810,1031,839,696,832,540,1
4,12,256,32,810,734,1078,650,1088,540,1
4,13,256,32,810,594,851,725,832,540,0
4,14,256,32,810,844,1087,668,1088,540,1
4,15,256,32,810,945,823,726,832,540,1
5,1,512,16,810,875,693,637,704,540,0
5,2,512,16,810,1265,1217,552,1216,540,1
5,3,512,16,810,1048,701,698,704,540,1
5,4,512,16,810,1094,1219,650,1216,540,1
5,5,512,16,810,1469,711,705,704,540,1
5,6,512,16,810,1171,1208,642,1216,540,1
5,7,512,16,810,1187,696,744,704,540,1
5,8,512,16,810,1265,1209,657,1216,540,1
5,9,512,16,810,859,703,734,704,540,1
5,10,512,16,810,891,1211,652,1216,540,1
5,11,512,16,810,1343,696,770,704,540,1
5,12,512,16,810,734,1215,681,1216,540,1
5,13,512,16,810,1031,697,798,704,540,1
5,14,512,16,810,688,1221,731,1216,540,1
5,15,512,16,810,1374,708,772,704,540,1
6,1,512,32,810,828,712,699,704,540,1
6,2,512,32,810,609,1199,640,1216,540,0
6,3,512,32,810,766,702,699,704,540,1
6,4,512,32,810,890,1198,621,1216,540,0
6,5,512,32,810,1141,695,706,704,540,1
6,6,512,32,810,859,1210,627,1216,540,1
6,7,512,32,810,828,719,762,704,540,1
6,8,512,32,810,843,1221,720,1216,540,1
6,9,512,32,810,781,704,780,704,540,1
6,10,512,32,810,875,1203,697,1216,540,1
6,11,512,32,810,984,702,784,704,540,1
6,12,512,32,810,1031,1224,678,1216,540,1
6,13,512,32,810,1159,693,797,704,540,1
6,14,512,32,810,640,1218,716,1216,540,1
6,15,512,32,810,1000,697,824,704,540,1
7,1,256,16,810,953,825,670,832,540,1
7,2,256,16,810,828,1086,611,1088,540,1
7,3,256,16,810,1140,826,717,832,540,1
7,4,256,16,810,578,1086,661,1088,540,1
7,5,256,16,810,906,840,736,832,540,0
7,6,256,16,810,1046,1092,686,1088,540,1
7,7,256,16,810,1031,836,764,832,540,1
7,8,256,16,810,1046,1082,671,1088,540,1
7,9,256,16,810,1031,830,782,832,540,1
7,10,256,16,810,828,1087,689,1088,540,1
7,11,256,16,810,1374,830,800,832,540,1
7,12,256,16,810,860,1084,692,1088,540,1
7,13,256,16,810,781,824,798,832,540,1
7,14,256,16,810,1422,1084,748,1088,540,1
7,15,256,16,810,1343,828,736,832,540,1
8,1,1024,128,810,765,476,689,448,540,1
8,2,1024,128,810,562,1485,576,1472,540,1
8,3,1024,128,810,594,476,745,448,540,1
8,4,1024,128,810,578,1481,608,1472,540,1
8,5,1024,128,810,734,479,748,448,540,1
8,6,1024,128,810,797,1455,607,1472,540,1
