20230303-164138
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,512,32,810,971,694,421,704,540,1
1,2,512,32,810,1086,1222,420,1216,540,1
1,3,512,32,810,1061,702,458,704,540,1
1,4,512,32,810,1022,1209,454,1216,540,1
1,5,512,32,810,605,722,446,704,540,0
1,6,512,32,810,719,1218,481,1216,540,1
1,7,512,32,810,925,714,465,704,540,1
1,8,512,32,810,909,1210,470,1216,540,1
1,9,512,32,810,806,718,483,704,540,1
1,10,512,32,810,748,1217,485,1216,540,1
1,11,512,32,810,669,712,495,704,540,1
1,12,512,32,810,576,1228,496,1216,540,1
1,13,512,32,810,515,719,505,704,540,1
1,14,512,32,810,645,1216,528,1216,540,1
1,15,512,32,810,814,702,530,704,540,1
2,1,512,64,810,698,707,508,704,540,1
2,2,512,64,810,765,1203,525,1216,540,1
2,3,512,64,810,589,746,535,704,540,0
2,4,512,64,810,711,1194,565,1216,540,1
2,5,512,64,810,860,673,508,704,540,1
2,6,512,64,810,868,1178,543,1216,540,0
2,7,512,64,810,844,670,507,704,540,0
2,8,512,64,810,613,1227,507,1216,540,1
2,9,512,64,810,653,724,531,704,540,1
2,10,512,64,810,516,1212,548,1216,540,1
2,11,512,64,810,517,706,567,704,540,1
2,12,512,64,810,613,1198,579,1216,540,1
2,13,512,64,810,540,705,571,704,540,1
2,14,512,64,810,918,1221,617,1216,540,1
2,15,512,64,810,668,694,561,704,540,1
3,1,256,32,810,762,830,548,832,540,1
3,2,256,32,810,757,1072,570,1088,540,1
3,3,256,32,810,636,842,568,832,540,1
3,4,256,32,810,719,1076,559,1088,540,1
3,5,256,32,810,886,834,556,832,540,1
3,6,256,32,810,732,1083,574,1088,540,1
3,7,256,32,810,717,825,552,832,540,1
3,8,256,32,810,790,1083,567,1088,540,1
3,9,256,32,810,718,835,556,832,540,1
3,10,256,32,810,678,1073,540,1088,540,1
3,11,256,32,810,902,833,550,832,540,1
3,12,256,32,810,694,1078,562,1088,540,1
3,13,256,32,810,613,824,562,832,540,1
3,14,256,32,810,597,1086,570,1088,540,1
3,15,256,32,810,621,853,564,832,540,0
4,1,1024,16,810,825,452,539,448,540,1
4,2,1024,16,810,653,1469,606,1472,540,1
4,3,1024,16,810,686,438,549,448,540,0
4,4,1024,16,810,996,1476,591,1472,540,1
4,5,1024,16,810,901,451,567,448,540,1
4,6,1024,16,810,990,1472,600,1472,540,1
4,7,1024,16,810,1102,445,515,448,540,1
4,8,1024,16,810,838,1483,631,1472,540,0
4,9,1024,16,810,893,449,529,448,540,1
4,10,1024,16,810,1029,1473,602,1472,540,1
4,11,1024,16,810,1046,444,582,448,540,1
4,12,1024,16,810,685,1475,583,1472,540,1
4,13,1024,16,810,1077,445,612,448,540,1
4,14,1024,16,810,1126,1469,592,1472,540,1
4,15,1024,16,810,1054,441,596,448,540,1
5,1,128,64,810,659,869,526,896,540,1
5,2,128,64,810,583,1045,521,1024,540,1
5,3,128,64,810,734,898,555,896,540,1
5,4,128,64,810,548,1002,563,1024,540,1
5,5,128,64,810,565,893,568,896,540,1
5,6,128,64,810,589,1038,543,1024,540,1
