20230307-175620
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,512,128,810,683,740,528,704,540,1
1,2,512,128,810,733,1252,491,1216,540,1
1,3,512,128,810,621,729,564,704,540,1
1,4,512,128,810,605,1226,514,1216,540,1
1,5,512,128,810,565,709,553,704,540,1
1,6,512,128,810,677,1215,527,1216,540,1
1,7,512,128,810,597,737,575,704,540,1
1,8,512,128,810,525,1236,523,1216,540,1
1,9,512,128,810,709,712,558,704,540,1
1,10,512,128,810,606,1208,558,1216,540,1
1,11,512,128,810,477,700,590,704,540,1
1,12,512,128,810,477,1207,563,1216,540,1
1,13,512,128,810,605,743,592,704,540,1
1,14,512,128,810,517,1249,578,1216,540,1
1,15,512,128,810,468,680,624,704,540,1
2,1,128,16,810,587,899,575,896,540,1
2,2,128,16,810,1125,1019,585,1024,540,1
2,3,128,16,810,1061,898,583,896,540,1
2,4,128,16,810,965,1025,606,1024,540,1
2,5,128,16,810,781,893,629,896,540,1
2,6,128,16,810,828,1021,669,1024,540,1
2,7,128,16,810,918,896,661,896,540,1
2,8,128,16,810,957,1027,666,1024,540,1
2,9,128,16,810,1085,890,708,896,540,1
2,10,128,16,810,726,1024,698,1024,540,1
2,11,128,16,810,958,898,704,896,540,1
2,12,128,16,810,749,1025,704,1024,540,1
2,13,128,16,810,693,897,702,896,540,1
2,14,128,16,810,909,1019,701,1024,540,1
2,15,128,16,810,757,901,703,896,540,1
3,1,256,64,810,458,870,575,832,540,0
3,2,256,64,810,878,1103,561,1088,540,1
3,3,256,64,810,693,845,594,832,540,1
3,4,256,64,810,460,1094,560,1088,540,1
3,5,256,64,810,799,841,577,832,540,1
3,6,256,64,810,470,1072,570,1088,540,1
3,7,256,64,810,533,848,579,832,540,1
3,8,256,64,810,525,1096,578,1088,540,1
3,9,256,64,810,517,817,586,832,540,1
3,10,256,64,810,598,1087,588,1088,540,1
3,11,256,64,810,542,826,611,832,540,1
3,12,256,64,810,598,1077,598,1088,540,1
3,13,256,64,810,524,846,608,832,540,1
3,14,256,64,810,470,1104,615,1088,540,1
3,15,256,64,810,606,817,630,832,540,1
4,1,128,64,810,378,892,605,896,540,1
4,2,128,64,810,352,1035,592,1024,540,1
4,3,128,64,810,332,914,589,896,540,1
4,4,128,64,810,341,1015,581,1024,540,1
4,5,128,64,810,325,900,590,896,540,1
4,6,128,64,810,293,1024,587,1024,540,1
4,7,128,64,810,333,911,593,896,540,1
4,8,128,64,810,342,1014,594,1024,540,1
4,9,128,64,810,317,921,597,896,540,1
4,10,128,64,810,357,1015,597,1024,540,1
4,11,128,64,810,301,894,596,896,540,1
4,12,128,64,810,341,1032,588,1024,540,1
4,13,128,64,810,317,891,595,896,540,1
4,14,128,64,810,318,1002,593,1024,540,1
4,15,128,64,810,318,877,601,896,540,1
5,1,1024,64,810,931,475,650,448,540,1
5,2,1024,64,810,740,1473,643,1472,540,1
5,3,1024,64,810,702,461,688,448,540,1
5,4,1024,64,810,583,1477,685,1472,540,1
5,5,1024,64,810,934,468,723,448,540,1
5,6,1024,64,810,644,1457,727,1472,540,1
5,7,1024,64,810,827,448,712,448,540,1
5,8,1024,64,810,665,1489,755,1472,540,1
5,9,1024,64,810,854,460,794,448,540,1
5,10,1024,64,810,764,1478,771,1472,540,1
5,11,1024,64,810,668,483,793,448,540,0
5,12,1024,64,810,823,1482,746,1472,540,1
5,13,1024,64,810,925,467,807,448,540,1
5,14,1024,64,810,613,1467,765,1472,540,1
5,15,1024,64,810,637,500,812,448,540,0
6,1,256,128,810,658,859,547,832,540,1
6,2,256,128,810,406,1147,529,1088,540,1
6,3,256,128,810,462,888,506,832,540,1
6,4,256,128,810,389,1021,476,1088,540,0
6,5,256,128,810,461,888,470,832,540,1
6,6,256,128,810,358,1034,454,1088,540,1
6,7,256,128,810,549,890,445,832,540,1
6,8,256,128,810,359,1042,443,1088,540,1
6,9,256,128,810,429,880,434,832,540,1
6,10,256,128,810,334,1052,438,1088,540,1
6,11,256,128,810,396,892,439,832,540,1
6,12,256,128,810,381,1080,447,1088,540,1
6,13,256,128,810,381,909,433,832,540,0
6,14,256,128,810,581,1047,453,1088,540,1
6,15,256,128,810,389,857,440,832,540,1
7,1,512,16,810,843,707,538,704,540,1
