20230303-183555
Ley de Fitts [ 1D - Original - Completo - Random ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,256,128,810,635,1101,459,1088,540,1
1,2,256,128,810,422,1083,459,1088,540,1
1,3,256,128,810,453,1083,459,1088,540,1
1,4,256,128,810,416,1083,459,1088,540,1
1,5,256,128,810,437,1083,459,1088,540,1
1,6,256,128,810,688,828,467,832,540,1
1,7,256,128,810,687,825,469,832,540,1
1,8,256,128,810,625,1074,455,1088,540,1
1,9,256,128,810,640,1066,464,1088,540,1
1,10,256,128,810,535,842,494,832,540,1
1,11,256,128,810,642,829,492,832,540,1
1,12,256,128,810,593,1056,472,1088,540,1
1,13,256,128,810,562,1069,478,1088,540,1
1,14,256,128,810,547,1050,478,1088,540,1
1,15,256,128,810,766,808,491,832,540,1
2,1,512,32,810,593,710,530,704,540,1
2,2,512,32,810,406,709,530,704,540,1
2,3,512,32,810,1022,1218,503,1216,540,1
2,4,512,32,810,1093,705,569,704,540,1
2,5,512,32,810,953,705,557,704,540,1
2,6,512,32,810,439,706,556,704,540,1
2,7,512,32,810,359,706,556,704,540,1
2,8,512,32,810,406,706,556,704,540,1
2,9,512,32,810,647,706,556,704,540,1
2,10,512,32,810,1000,1221,544,1216,540,1
2,11,512,32,810,868,704,599,704,540,1
2,12,512,32,810,601,1211,562,1216,540,1
2,13,512,32,810,828,713,562,704,540,1
2,14,512,32,810,991,701,563,704,540,1
2,15,512,32,810,359,701,563,704,540,1
3,1,128,128,810,469,995,535,1024,540,1
3,2,128,128,810,421,922,537,896,540,1
3,3,128,128,810,578,928,538,896,540,1
3,4,128,128,810,547,926,537,896,540,1
3,5,128,128,810,484,998,535,1024,540,1
3,6,128,128,810,422,916,532,896,540,1
3,7,128,128,810,459,987,533,1024,540,1
3,8,128,128,810,656,977,533,1024,540,1
3,9,128,128,810,532,980,534,1024,540,1
3,10,128,128,810,421,976,534,1024,540,1
3,11,128,128,810,516,899,541,896,540,1
3,12,128,128,810,656,922,536,896,540,1
3,13,128,128,810,750,986,528,1024,540,1
3,14,128,128,810,562,987,517,1024,540,1
3,15,128,128,810,453,914,517,896,540,1
4,1,128,64,810,585,906,540,896,540,1
4,2,128,64,810,397,906,540,896,540,1
4,3,128,64,810,453,906,540,896,540,1
4,4,128,64,810,785,1028,516,1024,540,1
4,5,128,64,810,756,915,531,896,540,1
4,6,128,64,810,656,1005,523,1024,540,1
4,7,128,64,810,716,1019,522,1024,540,1
4,8,128,64,810,609,922,532,896,540,1
4,9,128,64,810,740,898,531,896,540,1
4,10,128,64,810,625,914,528,896,540,1
4,11,128,64,810,578,1009,518,1024,540,1
4,12,128,64,810,768,1003,522,1024,540,1
4,13,128,64,810,624,909,528,896,540,1
4,14,128,64,810,644,907,531,896,540,1
4,15,128,64,810,626,908,531,896,540,1
5,1,1024,128,810,578,483,539,448,540,1
5,2,1024,128,810,1164,1423,527,1472,540,1
5,3,1024,128,810,781,1426,565,1472,540,1
5,4,1024,128,810,735,481,626,448,540,1
5,5,1024,128,810,638,1421,579,1472,540,1
5,6,1024,128,810,1031,1433,566,1472,540,1
5,7,1024,128,810,846,433,625,448,540,1
5,8,1024,128,810,754,486,644,448,540,1
5,9,1024,128,810,906,1458,643,1472,540,1
5,10,1024,128,810,676,438,658,448,540,1
5,11,1024,128,810,830,484,651,448,540,1
5,12,1024,128,810,401,484,651,448,540,1
5,13,1024,128,810,667,484,651,448,540,1
5,14,1024,128,810,375,484,651,448,540,1
5,15,1024,128,810,891,1496,633,1472,540,1
6,1,512,64,810,1047,687,647,704,540,1
6,2,512,64,810,625,1229,620,1216,540,1
6,3,512,64,810,703,1199,620,1216,540,1
6,4,512,64,810,656,703,640,704,540,1
6,5,512,64,810,609,679,645,704,540,1
6,6,512,64,810,790,1211,643,1216,540,1
6,7,512,64,810,750,1224,657,1216,540,1
6,8,512,64,810,765,1193,669,1216,540,1
6,9,512,64,810,813,690,681,704,540,1
6,10,512,64,810,781,1212,671,1216,540,1
6,11,512,64,810,750,1192,675,1216,540,1
6,12,512,64,810,609,695,692,704,540,1
6,13,512,64,810,984,715,697,704,540,1
6,14,512,64,810,687,1195,674,1216,540,1
6,15,512,64,810,891,1214,670,1216,540,1
7,1,1024,64,810,750,447,761,448,540,1
7,2,1024,64,810,894,1452,717,1472,540,1
7,3,1024,64,810,921,1437,728,1472,540,0
7,4,1024,64,810,951,440,761,448,540,1
7,5,1024,64,810,843,1476,730,1472,540,1
7,6,1024,64,810,711,472,798,448,540,1
7,7,1024,64,810,1000,444,807,448,540,1
7,8,1024,64,810,812,1480,803,1472,540,1
7,9,1024,64,810,766,1480,794,1472,540,1
7,10,1024,64,810,875,444,845,448,540,1
7,11,1024,64,810,789,1455,854,1472,540,1
7,12,1024,64,810,851,440,878,448,540,1
7,13,1024,64,810,780,457,883,448,540,1
7,14,1024,64,810,405,457,883,448,540,1
7,15,1024,64,810,900,1466,787,1472,540,1
8,1,128,32,810,687,895,570,896,540,1
8,2,128,32,810,922,1034,564,1024,540,1
8,3,128,32,810,647,1019,569,1024,540,1
8,4,128,32,810,874,895,583,896,540,1
8,5,128,32,810,532,1018,585,1024,540,1
8,6,128,32,810,625,899,597,896,540,1
8,7,128,32,810,578,904,600,896,540,1
8,8,128,32,810,828,1015,606,1024,540,1
8,9,128,32,810,485,903,606,896,540,1
8,10,128,32,810,796,890,608,896,540,1
8,11,128,32,810,875,1017,586,1024,540,1
8,12,128,32,810,656,1011,591,1024,540,1
8,13,128,32,810,453,1007,591,1024,540,0
8,14,128,32,810,453,1012,592,1024,540,1
8,15,128,32,810,781,906,610,896,540,1
9,1,1024,32,810,912,1460,590,1472,540,1
9,2,1024,32,810,953,456,582,448,540,1
9,3,1024,32,810,906,1478,598,1472,540,1
9,4,1024,32,810,999,1457,604,1472,540,1
9,5,1024,32,810,828,1464,602,1472,540,1
9,6,1024,32,810,1281,446,623,448,540,1
9,7,1024,32,810,1000,1481,609,1472,540,1
9,8,1024,32,810,1456,1465,606,1472,540,1
9,9,1024,32,810,688,1464,604,1472,540,1
9,10,1024,32,810,1162,446,631,448,540,1
9,11,1024,32,810,828,1478,594,1472,540,1
9,12,1024,32,810,1015,451,636,448,540,1
9,13,1024,32,810,1297,1480,630,1472,540,1
9,14,1024,32,810,1576,1471,616,1472,540,1
9,15,1024,32,810,445,1467,616,1472,540,1
10,1,128,16,810,984,1024,566,1024,540,1
10,2,128,16,810,1125,895,587,896,540,1
10,3,128,16,810,828,897,596,896,540,1
10,4,128,16,810,1037,1028,583,1024,540,1
10,5,128,16,810,1041,900,596,896,540,1
10,6,128,16,810,921,1025,586,1024,540,1
10,7,128,16,810,1203,895,613,896,540,1
10,8,128,16,810,924,897,610,896,540,1
10,9,128,16,810,545,897,610,896,540,1
10,10,128,16,810,438,897,610,896,540,1
10,11,128,16,810,968,1025,601,1024,540,1
10,12,128,16,810,594,1020,603,1024,540,1
10,13,128,16,810,673,1020,603,1024,540,1
10,14,128,16,810,1218,895,626,896,540,1
10,15,128,16,810,750,895,626,896,540,1
11,1,256,64,810,578,856,577,832,540,1
11,2,256,64,810,484,853,578,832,540,1
11,3,256,64,810,453,846,580,832,540,1
11,4,256,64,810,413,846,580,832,540,1
11,5,256,64,810,415,846,580,832,540,1
11,6,256,64,810,422,846,580,832,540,1
11,7,256,64,810,453,846,580,832,540,1
11,8,256,64,810,438,846,580,832,540,1
11,9,256,64,810,537,846,580,832,540,1
11,10,256,64,810,1000,1095,568,1088,540,1
11,11,256,64,810,890,849,618,832,540,1
11,12,256,64,810,571,854,616,832,540,1
11,13,256,64,810,466,854,616,832,540,1
11,14,256,64,810,477,854,616,832,540,1
11,15,256,64,810,750,1070,598,1088,540,1
12,1,1024,16,810,391,448,591,448,540,1
12,2,1024,16,810,484,448,591,448,540,1
12,3,1024,16,810,1169,1473,587,1472,540,1
12,4,1024,16,810,1428,445,628,448,540,1
12,5,1024,16,810,968,1471,598,1472,540,1
12,6,1024,16,810,1569,1475,630,1472,540,1
12,7,1024,16,810,1299,443,652,448,540,1
12,8,1024,16,810,1287,445,639,448,540,1
12,9,1024,16,810,391,446,639,448,540,1
12,10,1024,16,810,408,446,639,448,540,1
12,11,1024,16,810,1438,1469,625,1472,540,1
12,12,1024,16,810,1722,1477,650,1472,540,1
12,13,1024,16,810,541,1471,651,1472,540,1
12,14,1024,16,810,406,1471,651,1472,540,1
12,15,1024,16,810,794,1471,651,1472,540,1
13,1,256,32,810,781,829,586,832,540,1
13,2,256,32,810,397,835,587,832,540,1
13,3,256,32,810,1208,1088,566,1088,540,1
13,4,256,32,810,875,827,602,832,540,1
13,5,256,32,810,781,839,615,832,540,1
13,6,256,32,810,407,839,616,832,540,1
13,7,256,32,810,350,839,616,832,540,1
13,8,256,32,810,359,839,616,832,540,1
13,9,256,32,810,391,839,616,832,540,1
13,10,256,32,810,960,1085,610,1088,540,1
13,11,256,32,810,1019,834,678,832,540,1
13,12,256,32,810,761,1078,638,1088,540,1
13,13,256,32,810,704,1088,647,1088,540,1
13,14,256,32,810,424,1088,647,1088,540,1
13,15,256,32,810,906,840,668,832,540,1
14,1,512,16,810,1172,702,711,704,540,1
14,2,512,16,810,1306,700,703,704,540,1
14,3,512,16,810,1626,1215,647,1216,540,1
14,4,512,16,810,1516,701,681,704,540,1
14,5,512,16,810,1109,1219,665,1216,540,1
14,6,512,16,810,891,1218,684,1216,540,1
14,7,512,16,810,453,1210,684,1216,540,1
14,8,512,16,810,609,1210,684,1216,540,1
14,9,512,16,810,1078,707,718,704,540,1
14,10,512,16,810,1337,1214,685,1216,540,1
14,11,512,16,810,1388,703,747,704,540,1
14,12,512,16,810,1450,1219,492,1216,540,1
14,13,512,16,810,976,701,547,704,540,1
14,14,512,16,810,1442,1215,562,1216,540,1
14,15,512,16,810,1429,1217,586,1216,540,1
15,1,256,16,810,1206,832,576,832,540,1
15,2,256,16,810,950,828,566,832,540,1
15,3,256,16,810,1031,1092,547,1088,540,1
15,4,256,16,810,778,1085,553,1088,540,1
15,5,256,16,810,1297,832,588,832,540,1
15,6,256,16,810,937,1091,552,1088,540,1
15,7,256,16,810,1101,828,595,832,540,1
15,8,256,16,810,922,1086,565,1088,540,1
15,9,256,16,810,1078,831,618,832,540,1
15,10,256,16,810,937,1087,587,1088,540,1
15,11,256,16,810,859,831,607,832,540,1
15,12,256,16,810,973,829,592,832,540,1
15,13,256,16,810,1047,1090,554,1088,540,1
15,14,256,16,810,1568,829,599,832,540,1
15,15,256,16,810,859,1088,594,1088,540,1
16,1,512,128,810,593,1216,529,1216,540,1
16,2,512,128,810,828,747,600,704,540,1
16,3,512,128,810,672,1227,531,1216,540,1
16,4,512,128,810,797,743,575,704,540,1
16,5,512,128,810,515,1179,533,1216,540,1
16,6,512,128,810,765,1203,532,1216,540,1
16,7,512,128,810,391,1173,535,1216,540,1
16,8,512,128,810,359,1192,531,1216,540,1
16,9,512,128,810,740,745,573,704,540,1
16,10,512,128,810,766,699,571,704,540,1
16,11,512,128,810,580,1192,522,1216,540,1
16,12,512,128,810,630,707,588,704,540,1
16,13,512,128,810,703,678,562,704,540,1
16,14,512,128,810,359,700,558,704,540,1
16,15,512,128,810,607,1206,528,1216,540,1
