20230303-173951
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,256,128,810,898,873,455,832,540,1
1,2,256,128,810,525,1087,509,1088,540,1
1,3,256,128,810,614,883,487,832,540,1
1,4,256,128,810,470,1078,496,1088,540,1
1,5,256,128,810,724,787,490,832,540,1
1,6,256,128,810,494,1095,522,1088,540,1
1,7,256,128,810,541,865,511,832,540,1
1,8,256,128,810,462,1068,538,1088,540,1
1,9,256,128,810,573,881,533,832,540,1
1,10,256,128,810,621,1054,552,1088,540,1
1,11,256,128,810,510,823,533,832,540,1
1,12,256,128,810,477,1044,550,1088,540,1
1,13,256,128,810,414,845,543,832,540,1
1,14,256,128,810,525,1112,541,1088,540,1
1,15,256,128,810,718,881,524,832,540,1
2,1,1024,32,810,1620,460,546,448,540,1
2,2,1024,32,810,1006,1481,577,1472,540,1
2,3,1024,32,810,901,435,552,448,540,1
2,4,1024,32,810,1021,1458,556,1472,540,1
2,5,1024,32,810,750,439,554,448,540,1
2,6,1024,32,810,1109,1481,575,1472,540,1
2,7,1024,32,810,1078,439,577,448,540,1
2,8,1024,32,810,1221,1482,608,1472,540,1
2,9,1024,32,810,926,456,564,448,540,1
2,10,1024,32,810,933,1463,560,1472,540,1
2,11,1024,32,810,934,433,528,448,540,1
2,12,1024,32,810,871,1465,542,1472,540,1
2,13,1024,32,810,829,439,551,448,540,1
2,14,1024,32,810,1374,1464,577,1472,540,1
2,15,1024,32,810,1189,438,523,448,540,1
3,1,1024,64,810,1091,470,540,448,540,1
3,2,1024,64,810,973,1480,572,1472,540,1
3,3,1024,64,810,725,457,554,448,540,1
3,4,1024,64,810,1165,1477,572,1472,540,1
3,5,1024,64,810,1005,437,546,448,540,1
3,6,1024,64,810,1021,1487,575,1472,540,1
3,7,1024,64,810,646,450,518,448,540,1
3,8,1024,64,810,717,1454,581,1472,540,1
3,9,1024,64,810,718,468,527,448,540,1
3,10,1024,64,810,766,1448,556,1472,540,1
3,11,1024,64,810,941,454,519,448,540,1
3,12,1024,64,810,1214,1480,543,1472,540,1
3,13,1024,64,810,605,445,530,448,540,1
3,14,1024,64,810,941,1456,582,1472,540,1
3,15,1024,64,810,942,448,572,448,540,1
4,1,256,16,810,900,828,529,832,540,1
4,2,256,16,810,1182,1089,521,1088,540,1
4,3,256,16,810,1117,831,513,832,540,1
4,4,256,16,810,1077,1082,517,1088,540,1
4,5,256,16,810,1262,830,488,832,540,1
4,6,256,16,810,758,1085,529,1088,540,1
4,7,256,16,810,614,828,516,832,540,1
4,8,256,16,810,757,1084,531,1088,540,1
4,9,256,16,810,693,830,491,832,540,1
4,10,256,16,810,717,1086,510,1088,540,1
4,11,256,16,810,782,829,492,832,540,1
4,12,256,16,810,837,1083,515,1088,540,1
4,13,256,16,810,685,830,499,832,540,1
4,14,256,16,810,790,1089,491,1088,540,1
4,15,256,16,810,1157,833,472,832,540,1
5,1,512,32,810,781,708,531,704,540,1
5,2,512,32,810,757,1213,520,1216,540,1
5,3,512,32,810,902,694,513,704,540,1
5,4,512,32,810,829,1208,543,1216,540,1
5,5,512,32,810,869,705,516,704,540,1
5,6,512,32,810,886,1223,541,1216,540,1
5,7,512,32,810,742,698,510,704,540,1
5,8,512,32,810,820,1217,530,1216,540,1
5,9,512,32,810,910,711,506,704,540,1
5,10,512,32,810,829,1213,517,1216,540,1
5,11,512,32,810,662,705,493,704,540,1
5,12,512,32,810,654,1210,535,1216,540,1
5,13,512,32,810,726,695,480,704,540,1
5,14,512,32,810,1109,1214,521,1216,540,1
5,15,512,32,810,661,710,525,704,540,1
6,1,128,128,810,674,916,519,896,540,1
6,2,128,128,810,405,1022,539,1024,540,1
6,3,128,128,810,525,873,527,896,540,1
6,4,128,128,810,452,1022,553,1024,540,1
6,5,128,128,810,693,920,541,896,540,1
6,6,128,128,810,573,972,543,1024,540,1
6,7,128,128,810,421,891,537,896,540,1
6,8,128,128,810,477,1020,549,1024,540,1
6,9,128,128,810,525,908,547,896,540,1
6,10,128,128,810,453,1014,558,1024,540,1
6,11,128,128,810,381,910,542,896,540,1
6,12,128,128,810,365,1016,551,1024,540,1
6,13,128,128,810,358,916,551,896,540,1
6,14,128,128,810,397,1021,560,1024,540,1
6,15,128,128,810,405,916,558,896,540,1
7,1,1024,16,810,1162,449,545,448,540,1
7,2,1024,16,810,1324,1473,559,1472,540,1
7,3,1024,16,810,757,445,576,448,540,1
7,4,1024,16,810,1576,1470,596,1472,540,1
7,5,1024,16,810,1237,441,578,448,540,1
7,6,1024,16,810,1277,1465,512,1472,540,1
7,7,1024,16,810,853,441,515,448,540,1
7,8,1024,16,810,822,1476,528,1472,540,1
7,9,1024,16,810,821,447,546,448,540,1
7,10,1024,16,810,1253,1470,543,1472,540,1
