20230306-150744
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,512,16,810,945,702,517,704,540,1
1,2,512,16,810,1089,1220,520,1216,540,1
1,3,512,16,810,804,706,567,704,540,1
1,4,512,16,810,901,1223,502,1216,540,1
1,5,512,16,810,1006,711,557,704,540,1
1,6,512,16,810,1037,1208,573,1216,540,1
1,7,512,16,810,1008,714,584,704,540,0
1,8,512,16,810,923,1218,588,1216,540,1
1,9,512,16,810,1077,699,654,704,540,1
1,10,512,16,810,901,1215,590,1216,540,1
1,11,512,16,810,925,701,452,704,540,1
1,12,512,16,810,885,1221,460,1216,540,1
1,13,512,16,810,860,712,468,704,540,0
1,14,512,16,810,797,1217,462,1216,540,1
1,15,512,16,810,782,697,478,704,540,1
2,1,1024,16,810,1315,447,518,448,540,1
2,2,1024,16,810,1158,1470,441,1472,540,1
2,3,1024,16,810,845,444,511,448,540,1
2,4,1024,16,810,1021,1465,377,1472,540,1
2,5,1024,16,810,1149,450,427,448,540,1
2,6,1024,16,810,869,1470,406,1472,540,1
2,7,1024,16,810,1101,449,454,448,540,1
2,8,1024,16,810,1174,1465,393,1472,540,1
2,9,1024,16,810,1158,455,429,448,540,1
2,10,1024,16,810,1093,1476,385,1472,540,1
2,11,1024,16,810,933,449,478,448,540,1
2,12,1024,16,810,1004,1475,467,1472,540,1
2,13,1024,16,810,1204,445,484,448,540,1
2,14,1024,16,810,917,1472,471,1472,540,1
2,15,1024,16,810,1214,449,479,448,540,1
3,1,256,128,810,475,788,589,832,540,1
3,2,256,128,810,445,1089,567,1088,540,1
3,3,256,128,810,367,836,587,832,540,1
3,4,256,128,810,421,1054,576,1088,540,1
3,5,256,128,810,373,858,577,832,540,1
3,6,256,128,810,422,1095,559,1088,540,1
3,7,256,128,810,381,855,570,832,540,1
3,8,256,128,810,406,1063,566,1088,540,1
3,9,256,128,810,429,861,587,832,540,1
3,10,256,128,810,390,1041,581,1088,540,1
3,11,256,128,810,357,772,590,832,540,1
3,12,256,128,810,429,1092,588,1088,540,1
3,13,256,128,810,416,856,588,832,540,1
3,14,256,128,810,405,1042,587,1088,540,1
3,15,256,128,810,389,836,593,832,540,1
4,1,128,16,810,673,900,563,896,540,1
4,2,128,16,810,687,1023,561,1024,540,1
4,3,128,16,810,445,888,563,896,540,1
4,4,128,16,810,577,1025,562,1024,540,1
4,5,128,16,810,660,899,564,896,540,1
4,6,128,16,810,685,1020,558,1024,540,1
4,7,128,16,810,485,899,559,896,540,1
4,8,128,16,810,581,1017,555,1024,540,1
4,9,128,16,810,732,900,568,896,540,1
4,10,128,16,810,943,1021,565,1024,540,1
4,11,128,16,810,524,901,572,896,540,1
4,12,128,16,810,910,1028,559,1024,540,1
4,13,128,16,810,549,893,577,896,540,1
4,14,128,16,810,614,1027,584,1024,540,1
4,15,128,16,810,669,891,594,896,540,1
5,1,1024,128,810,667,446,546,448,540,1
5,2,1024,128,810,662,1526,538,1472,540,1
5,3,1024,128,810,565,445,517,448,540,1
5,4,1024,128,810,1030,1492,514,1472,540,1
5,5,1024,128,810,582,399,518,448,540,1
5,6,1024,128,810,613,1449,415,1472,540,1
5,7,1024,128,810,637,449,474,448,540,1
5,8,1024,128,810,1045,1512,437,1472,540,1
5,9,1024,128,810,581,493,413,448,540,1
5,10,1024,128,810,806,1430,424,1472,540,1
5,11,1024,128,810,645,460,441,448,540,1
5,12,1024,128,810,629,1471,387,1472,540,1
5,13,1024,128,810,606,473,395,448,540,1
5,14,1024,128,810,629,1440,404,1472,540,1
5,15,1024,128,810,677,484,418,448,540,1
6,1,128,32,810,651,891,563,896,540,1
6,2,128,32,810,709,1035,548,1024,540,1
6,3,128,32,810,501,911,557,896,540,1
6,4,128,32,810,701,1010,554,1024,540,1
6,5,128,32,810,559,911,554,896,540,1
6,6,128,32,810,709,1019,545,1024,540,1
6,7,128,32,810,668,897,546,896,540,1
6,8,128,32,810,662,1029,558,1024,540,1
6,9,128,32,810,470,905,556,896,540,1
6,10,128,32,810,501,1029,552,1024,540,1
6,11,128,32,810,453,909,552,896,540,1
6,12,128,32,810,525,1030,547,1024,540,1
6,13,128,32,810,527,900,556,896,540,1
6,14,128,32,810,614,1012,556,1024,540,1
6,15,128,32,810,533,913,552,896,540,0
7,1,512,64,810,867,683,584,704,540,1
7,2,512,64,810,812,1225,568,1216,540,1
7,3,512,64,810,717,693,591,704,540,1
7,4,512,64,810,740,1212,570,1216,540,1
7,5,512,64,810,725,706,561,704,540,1
7,6,512,64,810,661,1228,522,1216,540,1
7,7,512,64,810,459,710,524,704,540,1
7,8,512,64,810,853,1231,505,1216,540,1
7,9,512,64,810,781,723,490,704,540,1
7,10,512,64,810,741,1214,476,1216,540,1
7,11,512,64,810,524,687,471,704,540,1
7,12,512,64,810,685,1223,473,1216,540,1
7,13,512,64,810,647,693,477,704,540,1
7,14,512,64,810,740,1243,468,1216,540,1
7,15,512,64,810,622,718,490,704,540,1
8,1,512,128,810,706,715,579,704,540,1
8,2,512,128,810,645,1172,582,1216,540,1
8,3,512,128,810,654,724,600,704,540,1
8,4,512,128,810,687,1192,590,1216,540,1
8,5,512,128,810,422,697,579,704,540,1
8,6,512,128,810,509,1194,555,1216,540,1
8,7,512,128,810,398,699,557,704,540,1
8,8,512,128,810,469,1218,536,1216,540,1
8,9,512,128,810,445,723,540,704,540,1
8,10,512,128,810,445,1216,521,1216,540,1
8,11,512,128,810,436,706,530,704,540,1
8,12,512,128,810,442,1187,518,1216,540,1
8,13,512,128,810,485,742,531,704,540,1
8,14,512,128,810,445,1219,511,1216,540,1
8,15,512,128,810,406,732,517,704,540,1
9,1,128,128,810,363,874,549,896,540,1
9,2,128,128,810,573,1015,548,1024,540,1
9,3,128,128,810,349,940,553,896,540,1
9,4,128,128,810,414,999,553,1024,540,1
9,5,128,128,810,373,950,558,896,540,1
9,6,128,128,810,421,969,559,1024,540,1
9,7,128,128,810,414,944,558,896,540,1
9,8,128,128,810,373,984,558,1024,540,1
9,9,128,128,810,405,934,562,896,540,1
9,10,128,128,810,453,976,562,1024,540,1
9,11,128,128,810,373,924,558,896,540,1
9,12,128,128,810,405,983,559,1024,540,1
9,13,128,128,810,397,928,561,896,540,1
9,14,128,128,810,405,1016,561,1024,540,1
9,15,128,128,810,406,906,561,896,540,1
10,1,256,64,810,884,855,561,832,540,1
10,2,256,64,810,709,1074,589,1088,540,1
10,3,256,64,810,582,847,589,832,540,1
10,4,256,64,810,542,1069,586,1088,540,1
10,5,256,64,810,485,851,587,832,540,1
10,6,256,64,810,541,1069,584,1088,540,1
10,7,256,64,810,597,856,588,832,540,1
10,8,256,64,810,501,1091,584,1088,540,1
10,9,256,64,810,429,831,585,832,540,1
10,10,256,64,810,549,1064,585,1088,540,1
10,11,256,64,810,438,837,605,832,540,1
10,12,256,64,810,517,1118,587,1088,540,1
10,13,256,64,810,501,837,603,832,540,1
10,14,256,64,810,596,1067,606,1088,540,1
10,15,256,64,810,550,854,612,832,540,1
11,1,1024,64,810,651,499,540,448,540,0
11,2,1024,64,810,830,1445,531,1472,540,1
11,3,1024,64,810,758,461,538,448,540,1
11,4,1024,64,810,701,1480,517,1472,540,1
11,5,1024,64,810,525,458,495,448,540,1
11,6,1024,64,810,741,1478,506,1472,540,1
11,7,1024,64,810,710,453,530,448,540,1
11,8,1024,64,810,534,1479,500,1472,540,1
11,9,1024,64,810,877,464,511,448,540,1
11,10,1024,64,810,605,1476,459,1472,540,1
11,11,1024,64,810,812,464,486,448,540,1
11,12,1024,64,810,710,1451,480,1472,540,1
11,13,1024,64,810,1014,451,469,448,540,1
11,14,1024,64,810,589,1482,427,1472,540,1
11,15,1024,64,810,565,442,451,448,540,1
12,1,128,64,810,433,906,542,896,540,1
12,2,128,64,810,598,1012,527,1024,540,1
12,3,128,64,810,428,898,527,896,540,1
12,4,128,64,810,566,1026,517,1024,540,1
12,5,128,64,810,581,891,537,896,540,1
12,6,128,64,810,413,1029,530,1024,540,1
12,7,128,64,810,477,905,531,896,540,1
12,8,128,64,810,484,1028,519,1024,540,1
12,9,128,64,810,493,914,534,896,540,1
12,10,128,64,810,420,1008,525,1024,540,1
12,11,128,64,810,405,906,536,896,540,1
12,12,128,64,810,461,1007,527,1024,540,1
12,13,128,64,810,597,920,529,896,540,1
12,14,128,64,810,493,1001,530,1024,540,1
12,15,128,64,810,414,897,530,896,540,1
13,1,256,32,810,778,827,544,832,540,1
13,2,256,32,810,917,1082,543,1088,540,1
13,3,256,32,810,645,841,551,832,540,1
13,4,256,32,810,486,1098,552,1088,540,1
13,5,256,32,810,837,837,582,832,540,1
13,6,256,32,810,773,1093,592,1088,540,1
13,7,256,32,810,510,821,605,832,540,1
13,8,256,32,810,693,1096,604,1088,540,1
13,9,256,32,810,542,839,612,832,540,1
13,10,256,32,810,636,1080,615,1088,540,1
13,11,256,32,810,589,841,628,832,540,1
13,12,256,32,810,708,1088,623,1088,540,1
13,13,256,32,810,493,823,629,832,540,1
13,14,256,32,810,766,1085,629,1088,540,1
13,15,256,32,810,646,839,632,832,540,1
14,1,512,32,810,1075,696,584,704,540,1
14,2,512,32,810,749,1219,621,1216,540,1
14,3,512,32,810,805,705,616,704,540,1
14,4,512,32,810,502,1221,621,1216,540,1
14,5,512,32,810,813,712,635,704,540,1
14,6,512,32,810,670,1212,642,1216,540,1
14,7,512,32,810,654,711,640,704,540,1
14,8,512,32,810,733,1212,649,1216,540,1
14,9,512,32,810,1006,702,661,704,540,1
14,10,512,32,810,686,1226,657,1216,540,1
14,11,512,32,810,765,710,661,704,540,1
14,12,512,32,810,534,1215,659,1216,540,1
14,13,512,32,810,478,705,657,704,540,1
14,14,512,32,810,589,1215,659,1216,540,1
14,15,512,32,810,758,704,665,704,540,1
15,1,256,16,810,772,829,537,832,540,1
15,2,256,16,810,1094,1088,527,1088,540,1
15,3,256,16,810,990,835,537,832,540,1
15,4,256,16,810,797,1085,538,1088,540,1
15,5,256,16,810,869,836,535,832,540,1
15,6,256,16,810,932,1085,533,1088,540,1
15,7,256,16,810,982,832,540,832,540,1
15,8,256,16,810,798,1092,548,1088,540,1
15,9,256,16,810,565,828,544,832,540,1
15,10,256,16,810,990,1088,543,1088,540,1
15,11,256,16,810,845,833,557,832,540,1
15,12,256,16,810,781,1087,560,1088,540,1
15,13,256,16,810,837,831,572,832,540,1
15,14,256,16,810,974,1092,569,1088,540,1
15,15,256,16,810,789,829,565,832,540,1
16,1,1024,32,810,1314,438,615,448,540,1
16,2,1024,32,810,910,1464,621,1472,540,1
16,3,1024,32,810,853,450,610,448,540,1
16,4,1024,32,810,1173,1483,609,1472,540,1
16,5,1024,32,810,1086,454,556,448,540,1
16,6,1024,32,810,933,1470,567,1472,540,1
16,7,1024,32,810,893,455,512,448,540,1
16,8,1024,32,810,830,1462,552,1472,540,1
16,9,1024,32,810,853,451,516,448,540,1
16,10,1024,32,810,1038,1482,548,1472,540,1
16,11,1024,32,810,742,447,502,448,540,1
16,12,1024,32,810,1078,1470,508,1472,540,1
16,13,1024,32,810,645,448,480,448,540,1
16,14,1024,32,810,837,1481,507,1472,540,1
16,15,1024,32,810,973,446,486,448,540,1
