20230303-130333
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,512,128,810,882,679,563,704,540,1
1,2,512,128,810,513,1224,558,1216,540,1
1,3,512,128,810,646,684,590,704,540,1
1,4,512,128,810,548,1204,589,1216,540,1
1,5,512,128,810,591,689,608,704,540,1
1,6,512,128,810,606,1224,609,1216,540,1
1,7,512,128,810,467,739,620,704,540,1
1,8,512,128,810,598,1224,627,1216,540,1
1,9,512,128,810,653,680,647,704,540,1
1,10,512,128,810,566,1257,643,1216,540,1
1,11,512,128,810,484,716,654,704,540,1
1,12,512,128,810,616,1184,663,1216,540,1
1,13,512,128,810,548,704,641,704,540,1
1,14,512,128,810,432,1244,633,1216,540,1
1,15,512,128,810,469,683,652,704,540,1
2,1,128,128,810,369,902,528,896,540,1
2,2,128,128,810,316,1019,531,1024,540,1
2,3,128,128,810,311,909,530,896,540,1
2,4,128,128,810,332,1014,527,1024,540,1
2,5,128,128,810,299,945,533,896,540,1
2,6,128,128,810,293,1005,534,1024,540,1
2,7,128,128,810,445,952,535,896,540,1
2,8,128,128,810,365,1019,533,1024,540,1
2,9,128,128,810,276,919,539,896,540,1
2,10,128,128,810,246,987,537,1024,540,1
2,11,128,128,810,255,938,540,896,540,1
2,12,128,128,810,269,993,540,1024,540,1
2,13,128,128,810,284,929,545,896,540,1
2,14,128,128,810,239,988,543,1024,540,1
2,15,128,128,810,253,913,549,896,540,1
3,1,1024,32,810,714,450,564,448,540,1
3,2,1024,32,810,935,1452,535,1472,540,0
3,3,1024,32,810,1220,446,561,448,540,1
3,4,1024,32,810,1134,1465,573,1472,540,1
3,5,1024,32,810,971,439,575,448,540,1
3,6,1024,32,810,965,1462,589,1472,540,1
3,7,1024,32,810,870,456,598,448,540,1
3,8,1024,32,810,780,1467,592,1472,540,1
3,9,1024,32,810,918,457,623,448,540,1
3,10,1024,32,810,839,1475,617,1472,540,1
3,11,1024,32,810,812,455,631,448,540,1
3,12,1024,32,810,939,1473,620,1472,540,1
3,13,1024,32,810,860,450,618,448,540,1
3,14,1024,32,810,861,1464,597,1472,540,1
3,15,1024,32,810,939,450,636,448,540,1
4,1,128,32,810,779,907,583,896,540,1
4,2,128,32,810,500,1030,588,1024,540,1
4,3,128,32,810,717,895,606,896,540,1
