20230303-182906
Ley de Fitts [ 1D - Original - Completo - Random ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,256,64,810,745,1075,453,1088,540,1
1,2,256,64,810,880,1085,463,1088,540,1
1,3,256,64,810,546,851,489,832,540,1
1,4,256,64,810,859,832,496,832,540,1
1,5,256,64,810,625,1088,493,1088,540,1
1,6,256,64,810,629,858,508,832,540,1
1,7,256,64,810,642,1080,495,1088,540,1
1,8,256,64,810,704,838,494,832,540,1
1,9,256,64,810,800,821,502,832,540,1
1,10,256,64,810,813,1095,504,1088,540,1
1,11,256,64,810,547,839,526,832,540,1
1,12,256,64,810,652,1075,510,1088,540,1
1,13,256,64,810,765,1081,514,1088,540,1
1,14,256,64,810,766,1075,507,1088,540,1
1,15,256,64,810,671,837,520,832,540,1
2,1,128,128,810,641,900,529,896,540,1
2,2,128,128,810,468,988,532,1024,540,1
2,3,128,128,810,518,879,555,896,540,1
2,4,128,128,810,688,909,562,896,540,1
2,5,128,128,810,453,1033,559,1024,540,1
2,6,128,128,810,656,999,571,1024,540,1
2,7,128,128,810,611,1003,567,1024,540,1
2,8,128,128,810,569,929,579,896,540,1
2,9,128,128,810,766,930,582,896,540,1
2,10,128,128,810,500,1013,573,1024,540,1
2,11,128,128,810,671,1002,585,1024,540,1
2,12,128,128,810,748,999,582,1024,540,1
2,13,128,128,810,640,1004,591,1024,540,1
2,14,128,128,810,627,1004,594,1024,540,1
2,15,128,128,810,765,951,605,896,540,1
3,1,256,16,810,953,827,568,832,540,1
3,2,256,16,810,1016,832,567,832,540,1
3,3,256,16,810,837,833,564,832,540,1
3,4,256,16,810,781,833,567,832,540,1
3,5,256,16,810,647,833,565,832,540,1
3,6,256,16,810,641,836,567,832,540,1
3,7,256,16,810,1121,1083,583,1088,540,1
3,8,256,16,810,891,827,581,832,540,1
3,9,256,16,810,1033,1083,591,1088,540,1
3,10,256,16,810,1014,1091,579,1088,540,1
3,11,256,16,810,812,1084,587,1088,540,1
3,12,256,16,810,766,1085,585,1088,540,1
3,13,256,16,810,969,828,580,832,540,1
3,14,256,16,810,828,831,571,832,540,1
3,15,256,16,810,1015,1090,577,1088,540,1
4,1,1024,128,810,863,494,586,448,540,1
4,2,1024,128,810,750,1425,560,1472,540,1
4,3,1024,128,810,906,1439,536,1472,540,1
4,4,1024,128,810,843,1432,546,1472,540,1
4,5,1024,128,810,828,1467,585,1472,540,1
4,6,1024,128,810,893,445,575,448,540,1
4,7,1024,128,810,833,444,618,448,540,1
4,8,1024,128,810,741,1468,602,1472,540,1
4,9,1024,128,810,781,1449,610,1472,540,1
4,10,1024,128,810,531,433,644,448,540,1
4,11,1024,128,810,492,468,644,448,540,1
4,12,1024,128,810,766,1429,624,1472,540,1
4,13,1024,128,810,737,436,628,448,540,1
4,14,1024,128,810,859,1451,606,1472,540,1
4,15,1024,128,810,890,1429,618,1472,540,1
5,1,512,32,810,877,701,567,704,540,1
5,2,512,32,810,1109,702,551,704,540,1
5,3,512,32,810,875,711,557,704,540,1
5,4,512,32,810,750,707,539,704,540,1
5,5,512,32,810,812,707,537,704,540,1
5,6,512,32,810,578,703,537,704,540,1
5,7,512,32,810,1078,1216,571,1216,540,1
5,8,512,32,810,926,1222,551,1216,540,1
5,9,512,32,810,969,704,544,704,540,1
5,10,512,32,810,953,1206,546,1216,540,1
5,11,512,32,810,818,713,556,704,540,1
5,12,512,32,810,859,713,552,704,540,1
5,13,512,32,810,735,712,547,704,540,1
5,14,512,32,810,625,713,547,704,540,1
5,15,512,32,810,968,1219,576,1216,540,1
6,1,128,16,810,594,1021,556,1024,540,1
6,2,128,16,810,578,893,554,896,540,1
6,3,128,16,810,1000,898,553,896,540,1
6,4,128,16,810,507,898,553,896,540,1
6,5,128,16,810,710,902,555,896,540,1
6,6,128,16,810,844,1029,570,1024,540,1
6,7,128,16,810,1078,898,563,896,540,1
6,8,128,16,810,750,903,562,896,540,1
6,9,128,16,810,1023,1018,570,1024,540,1
6,10,128,16,810,750,1022,571,1024,540,1
6,11,128,16,810,1016,897,562,896,540,1
6,12,128,16,810,718,1022,567,1024,540,1
6,13,128,16,810,578,896,562,896,540,1
6,14,128,16,810,782,896,564,896,540,1
6,15,128,16,810,906,1017,568,1024,540,1
7,1,512,64,810,734,1204,568,1216,540,1
7,2,512,64,810,656,1200,574,1216,540,1
7,3,512,64,810,719,729,548,704,540,1
7,4,512,64,810,718,1208,551,1216,540,1
7,5,512,64,810,813,723,529,704,540,1
7,6,512,64,810,937,1191,552,1216,540,1
