20230302-142723
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,1024,32,810,811,446,555,448,540,1
1,2,1024,32,810,729,1476,559,1472,540,1
1,3,1024,32,810,572,441,438,448,540,1
1,4,1024,32,810,855,1477,560,1472,540,1
1,5,1024,32,810,795,444,588,448,540,1
1,6,1024,32,810,657,1465,597,1472,540,1
1,7,1024,32,810,823,467,561,448,540,0
1,8,1024,32,810,1037,1463,594,1472,540,1
1,9,1024,32,810,643,444,534,448,540,1
1,10,1024,32,810,1255,1464,606,1472,540,1
1,11,1024,32,810,1004,452,563,448,540,1
1,12,1024,32,810,1022,1466,620,1472,540,1
1,13,1024,32,810,929,434,609,448,540,1
1,14,1024,32,810,846,1475,575,1472,540,1
1,15,1024,32,810,1102,443,531,448,540,1
2,1,256,64,810,579,854,543,832,540,1
2,2,256,64,810,678,1061,546,1088,540,1
2,3,256,64,810,605,816,556,832,540,1
2,4,256,64,810,686,1102,569,1088,540,1
2,5,256,64,810,495,844,574,832,540,1
2,6,256,64,810,557,1071,572,1088,540,1
2,7,256,64,810,530,823,592,832,540,1
2,8,256,64,810,515,1069,584,1088,540,1
2,9,256,64,810,591,834,602,832,540,1
2,10,256,64,810,480,1102,598,1088,540,1
2,11,256,64,810,643,821,594,832,540,1
2,12,256,64,810,484,1073,606,1088,540,1
2,13,256,64,810,607,803,635,832,540,1
2,14,256,64,810,535,1083,622,1088,540,1
2,15,256,64,810,500,813,621,832,540,1
3,1,512,64,810,752,702,572,704,540,1
3,2,512,64,810,761,1194,559,1216,540,1
3,3,512,64,810,564,720,572,704,540,1
3,4,512,64,810,830,1201,563,1216,540,1
3,5,512,64,810,616,723,579,704,540,1
3,6,512,64,810,532,1229,576,1216,540,1
3,7,512,64,810,717,741,593,704,540,0
3,8,512,64,810,565,1198,581,1216,540,1
3,9,512,64,810,730,693,545,704,540,1
3,10,512,64,810,580,1199,559,1216,540,1
3,11,512,64,810,692,727,588,704,540,1
3,12,512,64,810,670,1209,598,1216,540,1
3,13,512,64,810,717,673,572,704,540,1
3,14,512,64,810,685,1193,599,1216,540,1
3,15,512,64,810,639,727,608,704,540,1
4,1,128,64,810,474,921,561,896,540,1
4,2,128,64,810,414,1016,554,1024,540,1
4,3,128,64,810,484,929,550,896,540,0
4,4,128,64,810,471,1011,553,1024,540,1
4,5,128,64,810,622,876,553,896,540,1
4,6,128,64,810,455,998,548,1024,540,1
4,7,128,64,810,600,881,549,896,540,1
4,8,128,64,810,473,1042,550,1024,540,1
4,9,128,64,810,431,903,549,896,540,1
4,10,128,64,810,447,1026,553,1024,540,1
4,11,128,64,810,464,889,562,896,540,1
4,12,128,64,810,477,987,564,1024,540,0
4,13,128,64,810,493,897,573,896,540,1
4,14,128,64,810,468,1019,583,1024,540,1
4,15,128,64,810,437,904,584,896,540,1
5,1,512,128,810,674,752,594,704,540,1
5,2,512,128,810,549,1196,573,1216,540,1
5,3,512,128,810,566,738,587,704,540,1
5,4,512,128,810,630,1186,599,1216,540,1
5,5,512,128,810,534,721,608,704,540,1
5,6,512,128,810,549,1187,619,1216,540,1
5,7,512,128,810,679,744,646,704,540,1
5,8,512,128,810,486,1207,630,1216,540,1
5,9,512,128,810,534,750,642,704,540,1
5,10,512,128,810,466,1176,621,1216,540,1
5,11,512,128,810,447,733,624,704,540,1
5,12,512,128,810,424,1163,613,1216,540,1
5,13,512,128,810,406,699,621,704,540,1
5,14,512,128,810,429,1162,628,1216,540,1
5,15,512,128,810,464,753,613,704,540,1
6,1,128,128,810,319,876,567,896,540,1
6,2,128,128,810,407,1012,567,1024,540,1
6,3,128,128,810,351,896,570,896,540,1
6,4,128,128,810,459,1008,577,1024,540,1
6,5,128,128,810,382,916,579,896,540,1
6,6,128,128,810,399,995,580,1024,540,1
6,7,128,128,810,531,937,584,896,540,1
6,8,128,128,810,566,1043,591,1024,540,1
6,9,128,128,810,375,948,593,896,540,1
6,10,128,128,810,397,1024,590,1024,540,1
6,11,128,128,810,381,929,599,896,540,1
6,12,128,128,810,414,981,599,1024,540,1
6,13,128,128,810,374,920,605,896,540,1
6,14,128,128,810,404,976,603,1024,540,1
6,15,128,128,810,455,924,605,896,540,1
7,1,256,16,810,850,835,588,832,540,1
7,2,256,16,810,942,1081,583,1088,540,1
7,3,256,16,810,652,836,605,832,540,1
7,4,256,16,810,835,1081,583,1088,540,1
7,5,256,16,810,845,829,626,832,540,1
7,6,256,16,810,662,1085,605,1088,540,1
7,7,256,16,810,684,795,691,832,540,0
7,8,256,16,810,768,1087,625,1088,540,1
7,9,256,16,810,995,831,674,832,540,1
7,10,256,16,810,616,1083,641,1088,540,1
7,11,256,16,810,1054,832,675,832,540,1
7,12,256,16,810,837,1090,643,1088,540,1
7,13,256,16,810,932,823,676,832,540,0
7,14,256,16,810,743,1094,657,1088,540,1
7,15,256,16,810,1134,842,672,832,540,0
8,1,256,32,810,749,836,587,832,540,1
8,2,256,32,810,753,1079,563,1088,540,1
8,3,256,32,810,764,843,584,832,540,1
8,4,256,32,810,710,1062,568,1088,540,0
8,5,256,32,810,919,816,574,832,540,1
8,6,256,32,810,884,1076,590,1088,540,1
8,7,256,32,810,790,822,605,832,540,1
8,8,256,32,810,580,1086,585,1088,540,1
8,9,256,32,810,760,829,607,832,540,1
8,10,256,32,810,734,1083,596,1088,540,1
8,11,256,32,810,574,836,612,832,540,1
8,12,256,32,810,597,1080,609,1088,540,1
8,13,256,32,810,735,836,615,832,540,1
8,14,256,32,810,667,1079,612,1088,540,1
8,15,256,32,810,725,829,631,832,540,1
9,1,512,32,810,1207,705,619,704,540,1
9,2,512,32,810,752,1205,592,1216,540,1
9,3,512,32,810,821,705,623,704,540,1
9,4,512,32,810,751,1208,610,1216,540,1
9,5,512,32,810,645,711,627,704,540,1
9,6,512,32,810,812,1231,637,1216,540,1
9,7,512,32,810,764,717,647,704,540,1
9,8,512,32,810,863,1221,671,1216,540,1
9,9,512,32,810,831,691,664,704,540,1
9,10,512,32,810,828,1224,646,1216,540,1
9,11,512,32,810,871,691,681,704,540,1
9,12,512,32,810,911,1206,682,1216,540,1
9,13,512,32,810,828,682,742,704,540,0
9,14,512,32,810,831,1206,676,1216,540,1
9,15,512,32,810,829,704,706,704,540,1
10,1,256,128,810,441,836,562,832,540,1
10,2,256,128,810,364,1059,553,1088,540,1
10,3,256,128,810,390,794,556,832,540,1
10,4,256,128,810,437,1019,556,1088,540,0
10,5,256,128,810,662,837,566,832,540,1
10,6,256,128,810,413,1049,566,1088,540,1
10,7,256,128,810,431,867,575,832,540,1
10,8,256,128,810,388,1063,572,1088,540,1
10,9,256,128,810,534,840,590,832,540,1
10,10,256,128,810,422,1047,578,1088,540,1
10,11,256,128,810,445,886,593,832,540,1
10,12,256,128,810,412,1020,588,1088,540,0
10,13,256,128,810,502,867,588,832,540,1
10,14,256,128,810,414,1047,577,1088,540,1
10,15,256,128,810,477,870,587,832,540,1
11,1,1024,16,810,965,445,649,448,540,1
11,2,1024,16,810,1261,1471,594,1472,540,1
11,3,1024,16,810,1085,447,637,448,540,1
11,4,1024,16,810,788,1465,597,1472,540,1
11,5,1024,16,810,936,459,628,448,540,0
11,6,1024,16,810,1180,1469,586,1472,540,1
11,7,1024,16,810,936,448,638,448,540,1
11,8,1024,16,810,1094,1475,588,1472,540,1
11,9,1024,16,810,733,447,612,448,540,1
11,10,1024,16,810,1063,1474,636,1472,540,1
11,11,1024,16,810,869,447,584,448,540,1
11,12,1024,16,810,1013,1479,586,1472,540,1
11,13,1024,16,810,1207,447,619,448,540,1
11,14,1024,16,810,980,1477,589,1472,540,1
11,15,1024,16,810,1003,456,625,448,540,0
12,1,128,32,810,474,891,549,896,540,1
12,2,128,32,810,443,1013,539,1024,540,1
12,3,128,32,810,510,906,549,896,540,1
12,4,128,32,810,598,1007,534,1024,540,0
12,5,128,32,810,728,892,548,896,540,1
12,6,128,32,810,534,1017,548,1024,540,1
12,7,128,32,810,642,905,565,896,540,1
12,8,128,32,810,454,1039,547,1024,540,1
12,9,128,32,810,543,895,556,896,540,1
12,10,128,32,810,574,1018,556,1024,540,1
12,11,128,32,810,622,889,564,896,540,1
12,12,128,32,810,575,1019,557,1024,540,1
12,13,128,32,810,516,897,572,896,540,1
