20230308-114813
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,256,16,810,1145,837,487,832,540,1
1,2,256,16,810,935,1083,533,1088,540,1
1,3,256,16,810,1094,829,534,832,540,1
1,4,256,16,810,927,1097,534,1088,540,0
1,5,256,16,810,1020,834,540,832,540,1
1,6,256,16,810,805,1083,542,1088,540,1
1,7,256,16,810,1053,825,539,832,540,1
1,8,256,16,810,830,1090,525,1088,540,1
1,9,256,16,810,1102,835,526,832,540,1
1,10,256,16,810,765,1085,536,1088,540,1
1,11,256,16,810,966,827,548,832,540,1
1,12,256,16,810,1069,1090,557,1088,540,1
1,13,256,16,810,1341,836,557,832,540,1
1,14,256,16,810,933,1088,561,1088,540,1
1,15,256,16,810,694,830,561,832,540,1
2,1,128,16,810,898,894,574,896,540,1
2,2,128,16,810,813,1028,560,1024,540,1
2,3,128,16,810,677,900,562,896,540,1
2,4,128,16,810,685,1019,564,1024,540,1
2,5,128,16,810,828,891,572,896,540,1
2,6,128,16,810,774,1017,568,1024,540,1
2,7,128,16,810,1182,903,571,896,540,1
2,8,128,16,810,883,1027,573,1024,540,1
2,9,128,16,810,734,900,573,896,540,1
2,10,128,16,810,861,1021,579,1024,540,1
2,11,128,16,810,678,894,577,896,540,1
2,12,128,16,810,741,1023,569,1024,540,1
2,13,128,16,810,862,899,568,896,540,1
2,14,128,16,810,661,1020,570,1024,540,1
2,15,128,16,810,908,886,582,896,540,0
3,1,256,128,810,578,806,550,832,540,1
3,2,256,128,810,558,1042,525,1088,540,1
3,3,256,128,810,526,879,532,832,540,1
3,4,256,128,810,477,1064,535,1088,540,1
3,5,256,128,810,716,868,535,832,540,1
3,6,256,128,810,557,1083,529,1088,540,1
3,7,256,128,810,717,804,534,832,540,1
3,8,256,128,810,741,1052,510,1088,540,1
3,9,256,128,810,564,821,506,832,540,1
3,10,256,128,810,517,1051,503,1088,540,1
3,11,256,128,810,406,798,513,832,540,1
3,12,256,128,810,525,1056,513,1088,540,1
3,13,256,128,810,525,826,524,832,540,1
3,14,256,128,810,501,1054,524,1088,540,1
3,15,256,128,810,517,875,524,832,540,1
4,1,1024,128,810,634,425,577,448,540,1
4,2,1024,128,810,637,1490,492,1472,540,1
4,3,1024,128,810,564,507,506,448,540,1
4,4,1024,128,810,645,1463,484,1472,540,1
4,5,1024,128,810,517,462,535,448,540,1
4,6,1024,128,810,852,1440,528,1472,540,1
4,7,1024,128,810,700,504,539,448,540,1
4,8,1024,128,810,476,1477,520,1472,540,1
4,9,1024,128,810,636,449,583,448,540,1
4,10,1024,128,810,749,1494,576,1472,540,1
4,11,1024,128,810,813,498,562,448,540,1
4,12,1024,128,810,837,1419,527,1472,540,1
4,13,1024,128,810,790,490,534,448,540,1
4,14,1024,128,810,700,1476,534,1472,540,1
4,15,1024,128,810,701,478,534,448,540,1
5,1,128,128,810,541,855,545,896,540,1
5,2,128,128,810,507,1016,548,1024,540,1
5,3,128,128,810,367,915,553,896,540,1
5,4,128,128,810,341,1025,558,1024,540,1
5,5,128,128,810,351,906,558,896,540,1
5,6,128,128,810,437,1027,560,1024,540,1
5,7,128,128,810,509,942,564,896,540,1
5,8,128,128,810,309,1048,567,1024,540,1
5,9,128,128,810,357,928,575,896,540,1
5,10,128,128,810,325,1026,569,1024,540,1
5,11,128,128,810,309,863,576,896,540,1
5,12,128,128,810,357,988,571,1024,540,1
5,13,128,128,810,332,861,579,896,540,1
5,14,128,128,810,389,989,581,1024,540,1
5,15,128,128,810,453,859,580,896,540,1
6,1,128,32,810,627,907,556,896,540,1
6,2,128,32,810,574,1027,556,1024,540,1
6,3,128,32,810,956,881,574,896,540,1
6,4,128,32,810,606,1013,572,1024,540,1
6,5,128,32,810,732,908,564,896,540,1
6,6,128,32,810,437,1029,564,1024,540,1
6,7,128,32,810,645,906,565,896,540,1
6,8,128,32,810,590,1015,565,1024,540,1
6,9,128,32,810,475,891,566,896,540,1
6,10,128,32,810,541,1014,569,1024,540,1
6,11,128,32,810,469,901,571,896,540,1
6,12,128,32,810,493,1026,573,1024,540,1
6,13,128,32,810,533,905,574,896,540,1
6,14,128,32,810,445,1017,567,1024,540,1
6,15,128,32,810,535,904,571,896,540,1
7,1,1024,64,810,731,459,542,448,540,1
7,2,1024,64,810,885,1445,553,1472,540,1
7,3,1024,64,810,614,463,580,448,540,1
7,4,1024,64,810,829,1457,574,1472,540,1
7,5,1024,64,810,557,474,536,448,540,1
7,6,1024,64,810,773,1473,528,1472,540,1
7,7,1024,64,810,589,462,550,448,540,1
7,8,1024,64,810,821,1494,526,1472,540,1
7,9,1024,64,810,660,474,525,448,540,1
7,10,1024,64,810,790,1466,547,1472,540,1
7,11,1024,64,810,902,468,552,448,540,1
7,12,1024,64,810,572,1470,558,1472,540,1
7,13,1024,64,810,653,451,561,448,540,1
7,14,1024,64,810,933,1489,561,1472,540,1
7,15,1024,64,810,780,431,564,448,540,1
8,1,512,32,810,684,712,576,704,540,1
8,2,512,32,810,982,1222,582,1216,540,1
8,3,512,32,810,894,717,577,704,540,1
8,4,512,32,810,565,1199,530,1216,540,0
8,5,512,32,810,772,714,559,704,540,1
8,6,512,32,810,811,1225,566,1216,540,1
8,7,512,32,810,829,704,571,704,540,1
8,8,512,32,810,621,1214,574,1216,540,1
8,9,512,32,810,908,705,584,704,540,1
8,10,512,32,810,565,1223,555,1216,540,1
8,11,512,32,810,683,685,565,704,540,0
8,12,512,32,810,798,1215,570,1216,540,1
8,13,512,32,810,676,707,570,704,540,1
8,14,512,32,810,541,1219,568,1216,540,1
8,15,512,32,810,709,713,569,704,540,1
9,1,128,64,810,371,885,550,896,540,1
9,2,128,64,810,341,971,550,1024,540,0
9,3,128,64,810,485,918,555,896,540,1
9,4,128,64,810,340,1018,548,1024,540,1
9,5,128,64,810,325,885,560,896,540,1
9,6,128,64,810,404,1010,560,1024,540,1
9,7,128,64,810,349,898,564,896,540,1
9,8,128,64,810,397,1008,553,1024,540,1
9,9,128,64,810,332,882,563,896,540,1
9,10,128,64,810,390,1023,562,1024,540,1
9,11,128,64,810,389,892,566,896,540,1
9,12,128,64,810,604,1046,561,1024,540,1
9,13,128,64,810,374,924,566,896,540,1
9,14,128,64,810,421,1006,566,1024,540,1
9,15,128,64,810,365,916,571,896,540,1
10,1,512,128,810,468,704,553,704,540,1
10,2,512,128,810,405,1210,553,1216,540,1
10,3,512,128,810,736,761,564,704,540,1
10,4,512,128,810,638,1160,550,1216,540,1
10,5,512,128,810,620,688,572,704,540,1
10,6,512,128,810,735,1187,566,1216,540,1
10,7,512,128,810,483,735,565,704,540,1
10,8,512,128,810,582,1199,565,1216,540,1
10,9,512,128,810,621,728,566,704,540,1
10,10,512,128,810,565,1241,544,1216,540,1
10,11,512,128,810,637,750,549,704,540,1
10,12,512,128,810,455,1149,547,1216,540,0
10,13,512,128,810,606,751,547,704,540,1
10,14,512,128,810,717,1208,532,1216,540,1
10,15,512,128,810,587,704,532,704,540,1
11,1,1024,16,810,1179,444,560,448,540,1
11,2,1024,16,810,1006,1478,543,1472,540,1
11,3,1024,16,810,852,449,544,448,540,1
11,4,1024,16,810,1342,1467,561,1472,540,1
11,5,1024,16,810,1165,453,561,448,540,1
11,6,1024,16,810,917,1467,561,1472,540,1
11,7,1024,16,810,1013,452,567,448,540,1
11,8,1024,16,810,1124,1473,562,1472,540,1
11,9,1024,16,810,1405,445,572,448,540,1
11,10,1024,16,810,1405,1470,553,1472,540,1
11,11,1024,16,810,869,443,543,448,540,1
11,12,1024,16,810,1093,1477,538,1472,540,1
11,13,1024,16,810,1221,450,566,448,540,1
11,14,1024,16,810,1117,1465,570,1472,540,1
11,15,1024,16,810,982,443,580,448,540,1
12,1,512,16,810,1099,707,553,704,540,1
12,2,512,16,810,1156,1202,557,1216,540,0
12,3,512,16,810,1133,702,533,704,540,1
12,4,512,16,810,1109,1221,543,1216,540,1
12,5,512,16,810,1197,706,536,704,540,1
12,6,512,16,810,1109,1223,583,1216,540,1
12,7,512,16,810,885,701,539,704,540,1
12,8,512,16,810,733,1214,538,1216,540,1
12,9,512,16,810,1326,703,526,704,540,1
12,10,512,16,810,837,1214,519,1216,540,1
12,11,512,16,810,1310,698,536,704,540,1
12,12,512,16,810,1052,1214,549,1216,540,1
12,13,512,16,810,724,696,515,704,540,1
12,14,512,16,810,1149,1220,537,1216,540,1
12,15,512,16,810,1549,705,572,704,540,1
13,1,256,64,810,548,829,566,832,540,1
13,2,256,64,810,764,1093,590,1088,540,1
13,3,256,64,810,533,848,579,832,540,1
13,4,256,64,810,469,1088,568,1088,540,1
13,5,256,64,810,420,848,590,832,540,1
13,6,256,64,810,653,1092,585,1088,540,1
13,7,256,64,810,549,859,590,832,540,1
13,8,256,64,810,820,1052,590,1088,540,0
13,9,256,64,810,757,819,604,832,540,1
13,10,256,64,810,652,1072,601,1088,540,1
13,11,256,64,810,550,836,607,832,540,1
13,12,256,64,810,524,1088,597,1088,540,1
13,13,256,64,810,589,854,594,832,540,1
13,14,256,64,810,621,1103,588,1088,540,1
13,15,256,64,810,686,850,593,832,540,1
14,1,256,32,810,722,829,569,832,540,1
14,2,256,32,810,692,1087,575,1088,540,1
14,3,256,32,810,805,830,579,832,540,1
14,4,256,32,810,876,1093,560,1088,540,1
14,5,256,32,810,1133,843,570,832,540,1
14,6,256,32,810,517,1080,555,1088,540,1
14,7,256,32,810,421,839,559,832,540,1
14,8,256,32,810,725,1083,569,1088,540,1
14,9,256,32,810,695,838,576,832,540,1
14,10,256,32,810,813,1082,583,1088,540,1
14,11,256,32,810,727,829,577,832,540,1
14,12,256,32,810,643,1094,584,1088,540,1
14,13,256,32,810,597,836,578,832,540,1
14,14,256,32,810,749,1095,579,1088,540,1
14,15,256,32,810,622,823,579,832,540,1
15,1,1024,32,810,715,437,573,448,540,1
15,2,1024,32,810,893,1469,582,1472,540,1
15,3,1024,32,810,805,464,615,448,540,0
15,4,1024,32,810,869,1447,600,1472,540,0
15,5,1024,32,810,917,454,593,448,540,1
15,6,1024,32,810,629,1475,562,1472,540,1
15,7,1024,32,810,837,446,593,448,540,1
15,8,1024,32,810,1165,1469,586,1472,540,1
15,9,1024,32,810,1197,448,581,448,540,1
15,10,1024,32,810,765,1476,530,1472,540,1
15,11,1024,32,810,662,452,540,448,540,1
15,12,1024,32,810,725,1475,536,1472,540,1
15,13,1024,32,810,989,464,548,448,540,0
15,14,1024,32,810,638,1462,554,1472,540,1
15,15,1024,32,810,597,443,554,448,540,1
16,1,512,64,810,858,709,560,704,540,1
16,2,512,64,810,573,1225,561,1216,540,1
16,3,512,64,810,622,718,566,704,540,1
16,4,512,64,810,646,1164,578,1216,540,0
16,5,512,64,810,783,735,576,704,540,1
16,6,512,64,810,538,1219,572,1216,540,1
16,7,512,64,810,526,710,588,704,540,1
