20230303-155824
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,256,64,810,937,843,480,832,540,1
1,2,256,64,810,782,1088,487,1088,540,1
1,3,256,64,810,671,843,526,832,540,1
1,4,256,64,810,750,1101,485,1088,540,1
1,5,256,64,810,796,818,516,832,540,1
1,6,256,64,810,766,1083,489,1088,540,1
1,7,256,64,810,718,845,534,832,540,1
1,8,256,64,810,743,1086,525,1088,540,1
1,9,256,64,810,562,843,556,832,540,1
1,10,256,64,810,688,1075,532,1088,540,1
1,11,256,64,810,609,829,560,832,540,1
1,12,256,64,810,609,1061,542,1088,540,1
1,13,256,64,810,797,841,579,832,540,1
1,14,256,64,810,609,1076,556,1088,540,1
1,15,256,64,810,547,857,583,832,540,1
2,1,512,32,810,947,711,524,704,540,1
2,2,512,32,810,1015,1210,452,1216,540,1
2,3,512,32,810,703,700,546,704,540,1
2,4,512,32,810,984,1216,421,1216,540,1
2,5,512,32,810,672,704,534,704,540,1
2,6,512,32,810,1062,1215,436,1216,540,1
2,7,512,32,810,890,710,537,704,540,1
2,8,512,32,810,1046,1205,436,1216,540,1
2,9,512,32,810,960,709,559,704,540,1
2,10,512,32,810,922,1208,478,1216,540,1
2,11,512,32,810,1078,710,573,704,540,1
2,12,512,32,810,906,1205,465,1216,540,1
2,13,512,32,810,828,707,557,704,540,1
2,14,512,32,810,843,1214,486,1216,540,1
2,15,512,32,810,868,707,558,704,540,1
3,1,128,64,810,593,907,482,896,540,1
3,2,128,64,810,485,1027,472,1024,540,1
3,3,128,64,810,437,898,489,896,540,1
3,4,128,64,810,422,1017,476,1024,540,1
3,5,128,64,810,422,885,486,896,540,1
3,6,128,64,810,466,1007,483,1024,540,1
3,7,128,64,810,391,894,490,896,540,1
3,8,128,64,810,531,1003,487,1024,540,1
3,9,128,64,810,391,898,500,896,540,1
3,10,128,64,810,469,1025,496,1024,540,1
3,11,128,64,810,437,893,503,896,540,1
3,12,128,64,810,594,1006,503,1024,540,1
3,13,128,64,810,444,892,515,896,540,1
3,14,128,64,810,422,1007,503,1024,540,1
3,15,128,64,810,421,897,518,896,540,1
4,1,1024,32,810,1238,452,581,448,540,1
4,2,1024,32,810,1141,1470,467,1472,540,1
4,3,1024,32,810,1547,449,579,448,540,1
4,4,1024,32,810,1016,1462,441,1472,540,1
4,5,1024,32,810,1046,448,556,448,540,1
4,6,1024,32,810,1250,1466,442,1472,540,1
4,7,1024,32,810,1000,459,574,448,540,1
4,8,1024,32,810,1437,1474,466,1472,540,1
4,9,1024,32,810,1062,441,599,448,540,1
4,10,1024,32,810,938,1469,471,1472,540,1
4,11,1024,32,810,953,448,584,448,540,1
4,12,1024,32,810,952,1463,471,1472,540,1
4,13,1024,32,810,1172,454,610,448,540,1
4,14,1024,32,810,1000,1463,497,1472,540,1
4,15,1024,32,810,1249,454,626,448,540,1
5,1,1024,16,810,1124,441,575,448,540,1
5,2,1024,16,810,1109,1477,493,1472,540,1
5,3,1024,16,810,1344,446,589,448,540,1
5,4,1024,16,810,1359,1468,472,1472,540,1
5,5,1024,16,810,1327,447,580,448,540,1
5,6,1024,16,810,1041,1469,451,1472,540,1
5,7,1024,16,810,1312,441,529,448,540,1
5,8,1024,16,810,1144,1472,484,1472,540,1
5,9,1024,16,810,1078,452,541,448,540,1
5,10,1024,16,810,1233,1467,445,1472,540,1
5,11,1024,16,810,1187,452,554,448,540,1
5,12,1024,16,810,1374,1473,470,1472,540,1
5,13,1024,16,810,1703,452,545,448,540,1
5,14,1024,16,810,1265,1470,368,1472,540,1
5,15,1024,16,810,1462,454,504,448,540,1
6,1,128,128,810,640,903,493,896,540,1
6,2,128,128,810,391,1033,493,1024,540,1
6,3,128,128,810,406,895,505,896,540,1
6,4,128,128,810,390,1010,500,1024,540,1
6,5,128,128,810,422,854,508,896,540,1
6,6,128,128,810,500,1038,513,1024,540,1
6,7,128,128,810,437,869,513,896,540,1
6,8,128,128,810,563,1011,513,1024,540,1
6,9,128,128,810,593,867,518,896,540,1
6,10,128,128,810,453,1080,514,1024,540,1
6,11,128,128,810,500,937,515,896,540,1
6,12,128,128,810,406,1027,511,1024,540,1
6,13,128,128,810,655,904,519,896,540,1
6,14,128,128,810,437,998,510,1024,540,1
6,15,128,128,810,437,909,510,896,540,1
7,1,512,64,810,843,711,518,704,540,1
7,2,512,64,810,797,1210,452,1216,540,1
7,3,512,64,810,809,715,498,704,540,1
7,4,512,64,810,625,1199,432,1216,540,1
7,5,512,64,810,672,725,463,704,540,1
7,6,512,64,810,719,1219,407,1216,540,1
7,7,512,64,810,843,686,406,704,540,1
7,8,512,64,810,859,1202,341,1216,540,1
7,9,512,64,810,769,689,397,704,540,1
7,10,512,64,810,844,1225,375,1216,540,1
7,11,512,64,810,1015,714,422,704,540,1
7,12,512,64,810,875,1199,387,1216,540,1
7,13,512,64,810,766,713,452,704,540,1
7,14,512,64,810,906,1196,382,1216,540,1
7,15,512,64,810,859,725,435,704,540,1
8,1,256,128,810,437,867,467,832,540,1
8,2,256,128,810,443,1062,446,1088,540,1
8,3,256,128,810,359,840,452,832,540,1
8,4,256,128,810,484,1040,431,1088,540,1
8,5,256,128,810,437,866,438,832,540,1
8,6,256,128,810,407,1087,421,1088,540,1
8,7,256,128,810,390,839,428,832,540,1
8,8,256,128,810,469,1054,415,1088,540,1
8,9,256,128,810,438,835,422,832,540,1
8,10,256,128,810,422,1109,417,1088,540,1
8,11,256,128,810,453,890,423,832,540,1
8,12,256,128,810,546,1052,417,1088,540,1
8,13,256,128,810,563,849,424,832,540,1
8,14,256,128,810,453,1064,407,1088,540,1
8,15,256,128,810,453,869,421,832,540,1
9,1,1024,64,810,889,455,468,448,540,1
9,2,1024,64,810,969,1445,335,1472,540,1
9,3,1024,64,810,1046,452,436,448,540,1
9,4,1024,64,810,843,1473,291,1472,540,1
9,5,1024,64,810,891,441,366,448,540,1
9,6,1024,64,810,1000,1454,295,1472,540,1
9,7,1024,64,810,1031,457,389,448,540,1
9,8,1024,64,810,734,1458,302,1472,540,1
9,9,1024,64,810,686,464,365,448,540,1
9,10,1024,64,810,890,1462,295,1472,540,1
9,11,1024,64,810,656,457,420,448,540,1
9,12,1024,64,810,1109,1461,308,1472,540,1
9,13,1024,64,810,823,457,460,448,540,1
9,14,1024,64,810,1046,1459,301,1472,540,1
9,15,1024,64,810,703,428,436,448,540,1
10,1,512,16,810,984,705,460,704,540,1
10,2,512,16,810,1062,1212,428,1216,540,1
10,3,512,16,810,1093,696,468,704,540,1
10,4,512,16,810,922,1211,442,1216,540,1
10,5,512,16,810,1008,705,450,704,540,1
10,6,512,16,810,969,1218,442,1216,540,1
10,7,512,16,810,1218,703,433,704,540,1
10,8,512,16,810,922,1216,422,1216,540,1
10,9,512,16,810,969,701,446,704,540,1
10,10,512,16,810,999,1217,443,1216,540,1
10,11,512,16,810,1234,701,484,704,540,1
10,12,512,16,810,1203,1210,412,1216,540,1
10,13,512,16,810,1225,703,470,704,540,1
10,14,512,16,810,1453,1217,439,1216,540,1
10,15,512,16,810,1078,701,476,704,540,1
11,1,256,16,810,937,835,510,832,540,1
11,2,256,16,810,1156,1093,486,1088,540,1
